data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation
0,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_0
1,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_1
2,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_2
3,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_3
4,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_4
5,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_5
6,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_6
7,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_7
8,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_8
9,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_9
10,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_10
11,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_11
12,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_12
13,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_13
14,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_14
15,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_15
16,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_16
17,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_17
18,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_18
19,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_19
20,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_20
21,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_21
22,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_22
23,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_23
24,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_24
25,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_25
26,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_26
27,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_27
28,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_28
29,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_29
30,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_30
31,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_31
32,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_32
33,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_33
34,liver,lognorm,cell_type,None,0,None,None,None
35,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut_one.csv:permutation_0
36,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut_one.csv:permutation_1
37,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut_one.csv:permutation_2
38,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut_one.csv:permutation_3
39,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut_one.csv:permutation_4
40,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut_one.csv:permutation_5
41,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_0
42,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_1
43,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_2
44,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_3
45,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_4
46,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_5
47,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_6
48,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_7
49,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_8
50,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_9
51,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_10
52,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_11
53,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_12
54,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_13
55,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_14
56,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_15
57,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_16
58,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_17
59,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_18
60,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_19
61,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_20
62,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_21
63,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_22
64,bone_marrow,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_23
