,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_bone_marrow_41,0.4984272856819907,0.6294088229080713,0.7016769937717966,0.24795288543427185
spapros_0_bone_marrow_42,0.5117032100787497,0.5841623659103792,0.6601008835850388,0.16553038138097825
spapros_0_bone_marrow_43,0.5023152945669593,0.6063512308776151,0.6775208170572274,0.2130334579426923
spapros_0_bone_marrow_44,0.5076086928521002,0.5332756212377255,0.653657553730464,0.13775317702689605
spapros_0_bone_marrow_45,0.5115729830282403,0.5372035512103945,0.6060149064908822,0.15462902486628896
spapros_0_bone_marrow_46,0.52572321371283,0.6052372236624469,0.6776688303275084,0.2226015651210165
spapros_0_bone_marrow_47,0.5758880805170791,0.6441278860373072,0.6710968459599523,0.21580932086291682
spapros_0_bone_marrow_48,0.5528839054330252,0.6380471149071042,0.7137123516951692,0.2922306044103867
spapros_0_bone_marrow_49,0.5203539972357698,0.5677849634657439,0.6957978103480518,0.2735771207096724
spapros_0_bone_marrow_50,0.538682293076369,0.5846501598834595,0.639736233662352,0.17440611614563656
spapros_0_bone_marrow_51,0.5213599694696577,0.5627707469438961,0.6877254729126122,0.21428217756781984
spapros_0_bone_marrow_52,0.533680368205529,0.5979881291655181,0.7029573242819586,0.2532487275211541
spapros_0_bone_marrow_53,0.5103403634568479,0.5814048718977244,0.6536570575280318,0.1612348390133858
spapros_0_bone_marrow_54,0.5145308037524527,0.6000607245057334,0.6903391043781084,0.23209267825260185
spapros_0_bone_marrow_55,0.5262349320053846,0.5823637632834562,0.6864470836294264,0.231322458455002
spapros_0_bone_marrow_56,0.5232859777668752,0.5889318218982722,0.6820267646305735,0.2099756631165211
spapros_0_bone_marrow_57,0.5214433946193694,0.5826754968071391,0.7047733179803433,0.24993410869062987
spapros_0_bone_marrow_58,0.5276437985405835,0.6007282773417452,0.7099210654723657,0.25942685882423794
spapros_0_bone_marrow_59,0.5085316675503952,0.5983288981776197,0.710607336558083,0.275925923009823
spapros_0_bone_marrow_60,0.5509997816390935,0.6528929813198175,0.7225789302110045,0.3134493986983641
spapros_0_bone_marrow_61,0.5213242203454497,0.6019389202142673,0.7011872577256045,0.2722579677780928
spapros_0_bone_marrow_62,0.5321234544105566,0.595922049505368,0.7072464226094272,0.2870738091448075
spapros_0_bone_marrow_63,0.5631821774540721,0.6226605418427851,0.7240187249769471,0.30235519024160695
spapros_0_bone_marrow_64,0.53923490246204,0.6098520791150126,0.7034512224892209,0.2677949309199652
spapros_0_bone_marrow_65,0.5459583365366126,0.6318378538430782,0.710129986115498,0.2934945177465287
spapros_0_bone_marrow_66,0.5390043093835466,0.6019523296661504,0.7300602822822225,0.34038318620759134
spapros_0_bone_marrow_67,0.5180705866680545,0.6341228160698998,0.7057273721971881,0.28212408005213735
spapros_0_bone_marrow_68,0.556209989826953,0.655542040037689,0.7186413267592369,0.2656681178474671
spapros_0_bone_marrow_69,0.5459833197181081,0.6352778244873999,0.7477570815381721,0.38361540167267144
spapros_0_bone_marrow_70,0.5602988814533155,0.6418292601140856,0.7354825221978644,0.3408026574759812
spapros_0_bone_marrow_71,0.5435305593342745,0.6163009627497624,0.7127339513324651,0.2703768350594792
spapros_0_bone_marrow_72,0.5201851090517464,0.6142415846053927,0.7078774794885401,0.2938143654340943
spapros_0_bone_marrow_73,0.5476603565552738,0.6207563043504828,0.7157489842034405,0.27973302149062246
spapros_0_bone_marrow_74,0.5372208605695168,0.6162943283733784,0.7240086644096243,0.3107821731427255
spapros_0_bone_marrow_75,0.5511592435694654,0.6160763363671572,0.7169578996814873,0.28758753953831756
spapros_0_bone_marrow_76,0.5131190330043125,0.5867576266338859,0.6846345241596046,0.21915701365863396
spapros_0_bone_marrow_77,0.5387320190282432,0.5907924971191667,0.7268054748727476,0.31234843396810164
spapros_0_bone_marrow_78,0.537213990980471,0.6312909537196267,0.7395011663344174,0.3445794320621747
spapros_0_bone_marrow_79,0.5542530995365922,0.6260382270143261,0.7197936582754607,0.3181345275913809
spapros_0_bone_marrow_80,0.5594610147392838,0.6500765693405584,0.7250180526376137,0.3105621071165843
spapros_0_bone_marrow_81,0.5412391638339396,0.6296327404881193,0.7388886234438383,0.36194064952662525
spapros_0_bone_marrow_82,0.5526725905569626,0.6171553154516218,0.7344117002985018,0.3418912173716135
spapros_0_bone_marrow_83,0.5635897119062901,0.6437108372002412,0.7448632869271129,0.3715395847178736
