,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_bone_marrow_41,0.6744502487405519,0.15908792270531386,0.6227732985193554,0.5429235800631471
spapros_0_bone_marrow_42,0.6537621258853936,0.10608941162650679,0.6520960166019918,0.5553940989042377
spapros_0_bone_marrow_43,0.6557701260642027,0.135315413417911,0.6057374858824192,0.5377173863041256
spapros_0_bone_marrow_44,0.7140406249786041,0.2681213769296852,0.7344607572890255,0.6356175335219287
spapros_0_bone_marrow_45,0.591758553731321,0.12540449352043548,0.6423570609670732,0.5525576351191549
spapros_0_bone_marrow_46,0.6624891734339248,0.17766472976093703,0.7056014660507569,0.6077133530396043
spapros_0_bone_marrow_47,0.6095526186959423,0.1224709865938357,0.6384166222881252,0.5443914916157324
spapros_0_bone_marrow_48,0.6680533560099575,0.14336234597104164,0.6695142271961521,0.5829098988082633
spapros_0_bone_marrow_49,0.6565558356865008,0.12869532326035552,0.6503365619025008,0.5651601470920146
spapros_0_bone_marrow_50,0.6111167846902498,0.1300904433917486,0.6477441480435586,0.5476754723006582
spapros_0_bone_marrow_51,0.6950555408212828,0.22368216625323833,0.7226945032176251,0.6310594115241546
spapros_0_bone_marrow_52,0.6830649224681463,0.15653002070393363,0.7047828546382682,0.5960795686322276
spapros_0_bone_marrow_53,0.6398768123545459,0.10056292380658696,0.6514124189025344,0.5482906107113704
spapros_0_bone_marrow_54,0.662458058861678,0.11307854866892793,0.6319993814332565,0.5577312171606159
spapros_0_bone_marrow_55,0.6814791466785739,0.16579294380002213,0.6565383486314034,0.580134052357743
spapros_0_bone_marrow_56,0.6732008364141494,0.15173997753876584,0.6495747678595614,0.5715195520172873
spapros_0_bone_marrow_57,0.6976535143710569,0.19316974790797714,0.7331568529394835,0.6335614331889159
spapros_0_bone_marrow_58,0.6663762211793077,0.148972679617638,0.6819933443369344,0.5875221216624844
spapros_0_bone_marrow_59,0.6798935373842845,0.12710737559285193,0.6489875876555282,0.5653596594557381
spapros_0_bone_marrow_60,0.6853614930093024,0.1758251135399414,0.653564267883457,0.5714601993008518
spapros_0_bone_marrow_61,0.6855161424854432,0.19389331485622255,0.6931039697703418,0.6005972594442556
spapros_0_bone_marrow_62,0.6732450239859006,0.12831714315081563,0.6607763223613841,0.5772649861119341
spapros_0_bone_marrow_63,0.6856869370937783,0.16801515472967835,0.6999731403076863,0.6058713429124559
spapros_0_bone_marrow_64,0.6669998812591047,0.13293205879329834,0.6805209628455299,0.5818135151849488
spapros_0_bone_marrow_65,0.6649836485707629,0.12598504030659427,0.6682445200852,0.5762292092799233
spapros_0_bone_marrow_66,0.7051495702373025,0.23594674252898729,0.6892473301582545,0.6110284633424123
spapros_0_bone_marrow_67,0.6647290522541185,0.16154253639171418,0.6489237755719162,0.5517668500190365
spapros_0_bone_marrow_68,0.6798896699452283,0.1577511310173659,0.6665487522791095,0.5706636222761732
spapros_0_bone_marrow_69,0.7012361827503496,0.23114772382250212,0.6949900063443204,0.6065145612611849
spapros_0_bone_marrow_70,0.6892834951042045,0.21356330070889462,0.7148001921577307,0.6088041862996141
spapros_0_bone_marrow_71,0.7128140965962395,0.23523646455302324,0.6988237549107521,0.621044221396029
spapros_0_bone_marrow_72,0.663028869887284,0.1742312696186468,0.6640215659125821,0.5711146897130812
spapros_0_bone_marrow_73,0.6766806190567232,0.17604161405900537,0.6986526373782979,0.5995156732640281
spapros_0_bone_marrow_74,0.6514700852626868,0.12369247757073848,0.6621679286429345,0.5634864053598444
spapros_0_bone_marrow_75,0.6793006775743408,0.16364081481226297,0.6996313446882669,0.6018273492806754
spapros_0_bone_marrow_76,0.6736151514481686,0.16212726735867186,0.7023843057965251,0.6045024772463161
spapros_0_bone_marrow_77,0.7010636872350058,0.22298699976312394,0.7124275110765554,0.609916317071554
spapros_0_bone_marrow_78,0.6969618141231938,0.2090740384796188,0.6872414577543383,0.5988425049963572
spapros_0_bone_marrow_79,0.6704740538278464,0.15611603600428742,0.6692277962490171,0.5762759537391361
spapros_0_bone_marrow_80,0.6864986412642909,0.19403669896337963,0.7053060111111601,0.5991115652159124
spapros_0_bone_marrow_81,0.6983571534090554,0.20941334062885775,0.6991247695757089,0.5990283584337713
spapros_0_bone_marrow_82,0.6803863536356799,0.16482260645738897,0.6891740417685579,0.6013687034364177
spapros_0_bone_marrow_83,0.6846385746828091,0.20170117220551986,0.685524646346876,0.5885593608720099
