,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.8910417780127462,0.78391881342701,0.061248159904185404,0.061248159904185404,0.6233721250963238,0.48499377465774296
spapros_0_eye_1,0.900392790854365,0.7953317720530836,0.07019592469421514,0.07019592469421514,0.6720572937036626,0.5372184860041146
spapros_0_eye_2,0.8887275251905137,0.8047775175644026,0.06815905523954076,0.06815905523954076,0.6890549878940824,0.5349683650611775
spapros_0_eye_3,0.9276420359239289,0.9843537414965983,0.0737371796723316,0.0737371796723316,0.6368718175521266,0.5158981978991385
spapros_0_eye_4,0.9024981570394133,0.7734180885468941,0.049690501467827004,0.049690501467827004,0.5733955740729071,0.45603990073294565
spapros_0_eye_5,0.693421601574614,0.18237151319858083,0.02350828816957096,0.02350828816957096,0.2622585617321722,0.2862309837059024
spapros_0_eye_6,0.9408808099850108,1.0,0.07339111017373906,0.07339111017373906,0.6473810921840415,0.5184613259013808
spapros_0_eye_7,0.9455138548587,1.0,0.073543802438319,0.073543802438319,0.6604035665294525,0.5157197771884284
spapros_0_eye_8,0.9195575622387945,0.9128426452548232,0.05879103809229942,0.05879103809229942,0.6264848048768925,0.5032668911100329
spapros_0_eye_9,0.9474780610204936,1.0,0.08146350326897495,0.08146350326897495,0.6926926368711628,0.5625156801241639
spapros_0_eye_10,0.9479468187138418,1.0,0.07472105725952029,0.07472105725952029,0.6516005801982729,0.518873598266535
spapros_0_eye_11,0.8995782176822734,0.8000000000000002,0.06330807725543536,0.06330807725543536,0.6358738106380508,0.493101175022331
spapros_0_eye_12,0.8323481023752487,0.7194866699784733,0.04228007006200359,0.04228007006200359,0.48829510451484526,0.4280480895563811
spapros_0_eye_13,0.8817372414310468,0.8543781775107749,0.042843492256318644,0.042843492256318644,0.5041279671533994,0.41212576065790607
spapros_0_eye_14,0.9239277058041425,0.9598639455782311,0.05377073949595182,0.05377073949595182,0.576733168397518,0.47607676363563856
spapros_0_eye_15,0.9328814217431842,0.9734693877551018,0.06952496684371365,0.06952496684371365,0.6781097718553046,0.5417900649944151
spapros_0_eye_16,0.9493765440938463,1.0,0.06860378172283349,0.06860378172283349,0.6429077941121404,0.5312479086286722
spapros_0_eye_17,0.9019344083970992,0.7936277461804392,0.07290509288674821,0.07290509288674821,0.6634852225453778,0.5226497200891681
spapros_0_eye_18,0.9155444577874067,0.917977026876324,0.0760033918658132,0.0760033918658132,0.6570680936777251,0.52762925461042
spapros_0_eye_19,0.9280318013259096,0.958503401360544,0.07904466563060046,0.07904466563060046,0.6986138219396492,0.549139702076199
spapros_0_eye_20,0.9443809209781943,1.0,0.07288501746157974,0.07288501746157974,0.6764000574042939,0.5333349929197881
spapros_0_eye_21,0.9387634517171348,1.0,0.06996883011455851,0.06996883011455851,0.692217235530034,0.531084451427652
spapros_0_eye_22,0.9438722339901451,1.0,0.06862481925650962,0.06862481925650962,0.6756062334725649,0.5427205578131156
