,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_eye_0,0.02427847336792293,0.02427847336792293,0.7113615252543427,0.5584129710356351,0.925324939952806,0.9125410901926184
spapros_0_eye_1,0.025276035224000234,0.025276035224000234,0.7665321154488474,0.6182408821580564,0.9340007120392422,0.9947864299428805
spapros_0_eye_2,0.022789264785983872,0.022789264785983872,0.7453646912607133,0.580262349693162,0.9289807379236644,0.9595838259509454
spapros_0_eye_3,0.03153103074452103,0.03153103074452103,0.7382935434573378,0.5828205332446948,0.9185668715324009,0.9482517482517481
spapros_0_eye_4,0.020211036889276432,0.020211036889276432,0.7166730300721251,0.5518754299624368,0.896098434464988,0.8128362179242806
spapros_0_eye_5,0.007914355681106182,0.007914355681106182,0.36153555327494236,0.34164748405861217,0.658349957425377,0.13534191991914218
spapros_0_eye_6,0.02556542521039603,0.02556542521039603,0.7155710442265562,0.5631131927966105,0.9390016432579671,1.0
spapros_0_eye_7,0.03061794781953568,0.03061794781953568,0.7754255694282298,0.5981864258917129,0.9535515813661551,1.0
spapros_0_eye_8,0.022966081028798196,0.022966081028798196,0.7698610099649967,0.6086573557279997,0.9175308781576951,0.9304139568700431
spapros_0_eye_9,0.030457818467563715,0.030457818467563715,0.8132161897803646,0.6408469430726991,0.9609503379349887,1.0
spapros_0_eye_10,0.03209825138033242,0.03209825138033242,0.7740406584360968,0.6017065391873822,0.9584837198874382,1.0
spapros_0_eye_11,0.024918037003024474,0.024918037003024474,0.7675146240608808,0.5842163818360027,0.9377873409883942,0.9974068332189664
spapros_0_eye_12,0.014368953611997852,0.014368953611997852,0.6569967665261205,0.5201083296803632,0.8782352293724706,0.7606483557872727
spapros_0_eye_13,0.013699400523022185,0.013699400523022185,0.5900551001822378,0.4600784928293904,0.8813306437326623,0.8709895345175958
spapros_0_eye_14,0.018700027329422022,0.018700027329422022,0.6969815818769407,0.5519928657596247,0.9173389777631941,0.9655011655011655
spapros_0_eye_15,0.02681516199621041,0.02681516199621041,0.7784431678553689,0.6089261318132158,0.9490250855421455,1.0
spapros_0_eye_16,0.023815944904043228,0.023815944904043228,0.7811234094047196,0.6059897351588385,0.964515181675512,1.0
spapros_0_eye_17,0.028223135850446494,0.028223135850446494,0.7697029590852574,0.5981885731724328,0.9242913429877682,0.9324407694832316
spapros_0_eye_18,0.03308210286758446,0.03308210286758446,0.7544152125798833,0.5997704465693295,0.9349585914357843,0.9990988467105573
spapros_0_eye_19,0.031330688851264714,0.031330688851264714,0.7796808830724082,0.6318299268832221,0.9465769905920943,1.0
