,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.06925975052661941,0.06925975052661941,0.9600073368295076,1.0,0.4478285965018114,0.36068249693513765
spapros_0_eye_1,0.06928432976226526,0.06928432976226526,0.977009892646465,1.0,0.4231735012627269,0.3562708279748884
spapros_0_eye_2,0.06522582317713707,0.06522582317713707,0.9614839256915494,1.0,0.4633941556507142,0.34630708126092324
spapros_0_eye_3,0.0611282093382544,0.0611282093382544,0.9578288059411046,1.0,0.34601827322663004,0.31473265781902837
spapros_0_eye_4,0.06355132134607404,0.06355132134607404,0.9779432549125131,1.0,0.42578336341332224,0.3523269987643337
spapros_0_eye_5,0.03056810063534907,0.03056810063534907,0.8837432718210302,0.9673015873015872,0.16447480820811458,0.2324687455493215
spapros_0_eye_6,0.0653598491356266,0.0653598491356266,0.9675755175952085,1.0,0.41787870377535374,0.33207047364017583
spapros_0_eye_7,0.07196132837588663,0.07196132837588663,0.9837668676667587,1.0,0.449987297993461,0.3537631092574208
spapros_0_eye_8,0.07144845027974872,0.07144845027974872,0.9865361160594714,1.0,0.44728385475530863,0.3535193019274913
spapros_0_eye_9,0.07231340773181925,0.07231340773181925,0.9819931726477903,1.0,0.45334836432637043,0.358251658007143
spapros_0_eye_10,0.0707666465841725,0.0707666465841725,0.9848051008540023,1.0,0.46055816968483504,0.3538469817915291
spapros_0_eye_11,0.07658087436550284,0.07658087436550284,0.9850232714861479,1.0,0.4568138099215656,0.3585734363563377
spapros_0_eye_12,0.050443424004288924,0.050443424004288924,0.9365000975207068,1.0,0.32040350409931306,0.31336837899898445
spapros_0_eye_13,0.04925809569092548,0.04925809569092548,0.9172663885298027,0.9322222222222222,0.34773065458031405,0.3135784652555711
spapros_0_eye_14,0.062137574625633143,0.062137574625633143,0.9742328175012167,1.0,0.4295672911392591,0.33443744693663247
spapros_0_eye_15,0.07199507954900433,0.07199507954900433,0.9821429184193451,1.0,0.4656420497105564,0.36276954807549516
spapros_0_eye_16,0.06791272951228787,0.06791272951228787,0.9904038891420154,1.0,0.4590242592603765,0.34597600991117716
spapros_0_eye_17,0.06677195799001044,0.06677195799001044,0.9606855064269718,1.0,0.4264256388976708,0.3460667093996449
spapros_0_eye_18,0.0687962868456756,0.0687962868456756,0.9644104267773085,1.0,0.43763658666739474,0.3528413642830396
spapros_0_eye_19,0.07149466742647073,0.07149466742647073,0.9792393605252978,1.0,0.4375034309571769,0.34824511322844537
spapros_0_eye_20,0.06374213680234365,0.06374213680234365,0.9669405475542144,1.0,0.3996235152444576,0.34293671849128915
spapros_0_eye_21,0.07161765012710779,0.07161765012710779,0.9753175934175496,1.0,0.4686766353619687,0.3573741636602965
spapros_0_eye_22,0.07099220425433819,0.07099220425433819,0.9773614854364595,1.0,0.4627312864317573,0.35960356928199066
spapros_0_eye_23,0.07462556152967753,0.07462556152967753,0.9889180485488036,1.0,0.46536807798360824,0.3602024338467019
spapros_0_eye_24,0.06783551947683358,0.06783551947683358,0.9792930405617364,1.0,0.4129062676592401,0.34225878351229916
spapros_0_eye_25,0.06975582565879718,0.06975582565879718,0.9830055587801197,1.0,0.43899218478861346,0.35340173528173924
spapros_0_eye_26,0.06817634979526647,0.06817634979526647,0.9898911482513514,1.0,0.46056283979118995,0.354985451708927
spapros_0_eye_27,0.06695111484855942,0.06695111484855942,0.9809202168275802,1.0,0.44812439913596025,0.34990419150803753
spapros_0_eye_28,0.07132648154676641,0.07132648154676641,0.9724182077931168,1.0,0.4343397575952058,0.36374702802354053
spapros_0_eye_29,0.07439374844560169,0.07439374844560169,0.9902107449885302,1.0,0.46054500180186586,0.35747553617950983
spapros_0_eye_30,0.07394436642709573,0.07394436642709573,0.9882027552777295,1.0,0.44908848206617513,0.36393213984681416
spapros_0_eye_31,0.07687055544761076,0.07687055544761076,0.988494107051304,1.0,0.4700818625465727,0.3619096816170597
spapros_0_eye_32,0.06986672121029278,0.06986672121029278,0.9798569601598134,1.0,0.43964684004839116,0.3467557399622307
spapros_0_eye_33,0.06949979204785951,0.06949979204785951,0.9765084477110483,1.0,0.4481559956753348,0.3507714523237578
spapros_0_eye_34,0.0707468618144006,0.0707468618144006,0.964458641425125,1.0,0.46879440294206676,0.3601327978269044
spapros_0_eye_35,0.07167970181153269,0.07167970181153269,0.9866421032956015,1.0,0.4556419136510039,0.35921363337042894
spapros_0_eye_36,0.07020092809784469,0.07020092809784469,0.9901924841703345,1.0,0.44569998062157284,0.34807637318431517
spapros_0_eye_37,0.07366724777389741,0.07366724777389741,0.9793698982903125,1.0,0.4311039414436819,0.36185491846582507
spapros_0_eye_38,0.0714941244905526,0.0714941244905526,0.9861657939039202,1.0,0.47103711725609726,0.3560457099522411
spapros_0_eye_39,0.0735077554283441,0.0735077554283441,0.9829059638954775,1.0,0.46796507842412904,0.3483203027139471
spapros_0_eye_40,0.0725768299190901,0.0725768299190901,0.9890199601598431,1.0,0.4714349161507001,0.35610838282964774
spapros_0_eye_41,0.07003737057348547,0.07003737057348547,0.9864728736846308,1.0,0.4445611106559587,0.3577977993427259
spapros_0_eye_42,0.07107877582690893,0.07107877582690893,0.9893083898137575,1.0,0.4526493375036302,0.3511396793556415
spapros_0_eye_43,0.06821203376028052,0.06821203376028052,0.9793995322952612,1.0,0.45079261951958405,0.3530242010126262
spapros_0_eye_44,0.07067876187007611,0.07067876187007611,0.9886909779010798,1.0,0.46067456858738487,0.3507403023534027
spapros_0_eye_45,0.06913600086886952,0.06913600086886952,0.9766081913757293,1.0,0.4668913654830369,0.3541620426944539
spapros_0_eye_46,0.06826761194435069,0.06826761194435069,0.9756323897673932,1.0,0.43955237841663086,0.3465953590737828
spapros_0_eye_47,0.06951289197770584,0.06951289197770584,0.9880703843806528,1.0,0.438942928364284,0.34984819563874775
spapros_0_eye_48,0.06990914517717198,0.06990914517717198,0.9872278725267742,1.0,0.45391803930262004,0.3552476287443633
spapros_0_eye_49,0.07025262114468249,0.07025262114468249,0.9872783272514797,1.0,0.4578929472671959,0.3564038198890233
spapros_0_eye_50,0.07050529649924543,0.07050529649924543,0.985368957782196,1.0,0.4549527199224941,0.35442373526443965
spapros_0_eye_51,0.06928533585856739,0.06928533585856739,0.9829548974122818,1.0,0.4413506004361055,0.350691448126792
spapros_0_eye_52,0.07353584903552506,0.07353584903552506,0.9839849454639152,1.0,0.47251893927814625,0.3588584372779068
spapros_0_eye_53,0.0704043592708317,0.0704043592708317,0.9788042050853583,1.0,0.45780429865437733,0.35856867299911505
spapros_0_eye_54,0.06852138454048146,0.06852138454048146,0.9865759988052653,1.0,0.44681769593239967,0.3539874109357271
spapros_0_eye_55,0.07148621584270652,0.07148621584270652,0.9876228047873729,1.0,0.4431094039859408,0.3516777281710784
