,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.9627685102023336,0.9604166666666667,0.8860234263491308,0.7289378148897138
spapros_0_eye_1,0.9319455441657715,0.9201388888888888,0.895389953618409,0.7285601647367859
spapros_0_eye_2,0.9330544602278985,0.8879166666666667,0.8938051108439488,0.7238605395658121
spapros_0_eye_3,0.918754270043251,0.8766876310272537,0.8252849723708635,0.6756470278759904
spapros_0_eye_4,0.9120579958963652,0.8365198701680827,0.8379980981212277,0.6669598860945223
spapros_0_eye_5,0.6934314842341736,0.3083498136135375,0.5184269893132919,0.5075938565064101
spapros_0_eye_6,0.9268784800786116,0.8768055555555556,0.806467977273948,0.6733524394254632
spapros_0_eye_7,0.9315149559005709,0.8990513626834382,0.8514590740701081,0.7034537341963853
spapros_0_eye_8,0.8954516097729511,0.7740277777777779,0.8418654505028524,0.6788969513822238
spapros_0_eye_9,0.9318950426948673,0.9034722222222222,0.8656899447277479,0.7047037261599843
spapros_0_eye_10,0.9593752222331442,0.9554166666666668,0.8540699413837491,0.7016808093358342
spapros_0_eye_11,0.9330092774442618,0.875,0.8784223322209392,0.7039943053568947
spapros_0_eye_12,0.9268269953909856,0.9163888888888889,0.7591447328384877,0.6579146231190887
spapros_0_eye_13,0.8477816832597389,0.6909985524372528,0.7655962038216724,0.625616414220977
spapros_0_eye_14,0.8981319673037739,0.8590298466291515,0.8319793271485878,0.6556395523358188
spapros_0_eye_15,0.9349318497307855,0.8874685534591196,0.8815249275313979,0.7121560942663343
spapros_0_eye_16,0.9230941735140037,0.883680992313068,0.8337300320805313,0.6783707122368365
spapros_0_eye_17,0.9687684401309379,0.9609722222222222,0.8607454082960266,0.7000689812521588
spapros_0_eye_18,0.9573022244194336,0.9681944444444445,0.8595399394635566,0.7164155987748606
spapros_0_eye_19,0.9574998803673004,0.9404166666666667,0.8597985360610115,0.7052617697648311
spapros_0_eye_20,0.9551051547670577,0.9375,0.8441824407200156,0.6918060571666389
spapros_0_eye_21,0.9563880861824025,0.9537500000000001,0.8812608087097712,0.7153916327938413
spapros_0_eye_22,0.9141993740513601,0.8624602320791497,0.8682588279695944,0.6984524522544074
spapros_0_eye_23,0.9373612819031882,0.9156944444444445,0.8562799843273823,0.6935957567273755
spapros_0_eye_24,0.9269868043666168,0.8740693863087723,0.8437774339893912,0.6903730965942392
spapros_0_eye_25,0.9439885839906831,0.9140277777777778,0.8655866778459,0.7019118387587687
spapros_0_eye_26,0.9624785260454429,0.9743055555555555,0.8619294921767224,0.7073230459688992
spapros_0_eye_27,0.9602193740547932,0.9715277777777778,0.849494579479682,0.6938559298160828
spapros_0_eye_28,0.9406764656841918,0.9073611111111112,0.8659733269864285,0.694279187530055
spapros_0_eye_29,0.9331761490712498,0.9106944444444445,0.8512893915047374,0.6984533263075866
spapros_0_eye_30,0.9645470135249612,0.9693055555555556,0.8686142060781603,0.7133510764101146
spapros_0_eye_31,0.9648922725472764,0.9770833333333334,0.8610811628253,0.707234526781423
spapros_0_eye_32,0.9439389577960405,0.9223611111111111,0.859094168036258,0.7079687240558984
spapros_0_eye_33,0.9524038238420057,0.96875,0.8532959296211666,0.6908527124342111
spapros_0_eye_34,0.9618718225366618,0.9670833333333334,0.8721322267974488,0.7157373866127582
spapros_0_eye_35,0.9624066213629847,0.9726388888888889,0.8715102681643137,0.7118250023831634
spapros_0_eye_36,0.964106733978678,0.9654166666666668,0.8609790980132194,0.7070135685224394
spapros_0_eye_37,0.9698193212798346,0.9754166666666667,0.8595026472708722,0.7289938597843257
spapros_0_eye_38,0.9455788917698575,0.8995833333333334,0.8633714005150401,0.705163739838134
spapros_0_eye_39,0.9430907495371024,0.9184722222222221,0.8657516151565291,0.7080014053866097
spapros_0_eye_40,0.9673716851811038,0.9781944444444445,0.8597766563334375,0.7128976905635234
spapros_0_eye_41,0.962223145576187,0.97875,0.8744644293767263,0.7047789148880377
spapros_0_eye_42,0.9614873759069587,0.9504166666666667,0.8550537127385465,0.7046750627428313
spapros_0_eye_43,0.9590453652742643,0.9809722222222221,0.86452909435594,0.7027782084297589
spapros_0_eye_44,0.9608846834469364,0.9375,0.8445038000215326,0.6797030453759978
spapros_0_eye_45,0.9483815895253662,0.9051388888888889,0.8602529874033373,0.7032264372417995
spapros_0_eye_46,0.9675230534069262,0.9743055555555555,0.8523342959097719,0.6963323219596126
spapros_0_eye_47,0.9437701648082089,0.9140277777777778,0.8620597793886318,0.7033452743422772
spapros_0_eye_48,0.9625491589432463,0.951527777777778,0.868150444400272,0.7115269662547572
spapros_0_eye_49,0.9558615934041259,0.9704166666666667,0.855963917673624,0.701938864175333
spapros_0_eye_50,0.9485485191297116,0.9223611111111111,0.8739671489859577,0.7056199022261614
spapros_0_eye_51,0.9556270122233657,0.9504166666666667,0.8578330839320552,0.6970887083826562
spapros_0_eye_52,0.9627416216770313,0.9726388888888889,0.8616146791760159,0.7071971398008339
spapros_0_eye_53,0.9661534078400525,0.9698611111111112,0.8503847281272798,0.7053528969432215
spapros_0_eye_54,0.959024721041374,0.9670833333333334,0.8679096114439486,0.6960790294059122
spapros_0_eye_55,0.9587563318639842,0.9393055555555556,0.8521349629342442,0.6971343199091974
