,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_eye_0,0.8531080713461898,0.6384535289890947,0.04462337368940188,0.04462337368940188,0.9558441326247282,0.9612438238453274
spapros_0_eye_1,0.8668265217302684,0.6658183437472847,0.04805625790133287,0.04805625790133287,0.9515047012924363,0.9754634204559013
spapros_0_eye_2,0.8610577504830685,0.6442267852719875,0.045436701381228795,0.045436701381228795,0.9558237590761145,0.9604411027568923
spapros_0_eye_3,0.8067270725259195,0.6098798537709742,0.041250961157758156,0.041250961157758156,0.9412543218623688,0.9009873891076896
spapros_0_eye_4,0.7963194697557815,0.5867022417600783,0.03597068040315766,0.03597068040315766,0.9390889139636649,0.9100116959064325
spapros_0_eye_5,0.4536329844823487,0.42610363357460806,0.015399624248790999,0.015399624248790999,0.7036337162187815,0.3763027728438368
spapros_0_eye_6,0.7923838282450685,0.5989311226216145,0.04215635014712415,0.04215635014712415,0.940425115783226,0.9209682937502485
spapros_0_eye_7,0.8349111558416953,0.6286541665177784,0.04399001973927514,0.04399001973927514,0.9506875888737907,0.9056934399490789
spapros_0_eye_8,0.8170182774731789,0.5940905589485737,0.036922996647284344,0.036922996647284344,0.9350184600872483,0.8743531049846837
spapros_0_eye_9,0.8651426545411107,0.6426639162336885,0.04359630313609807,0.04359630313609807,0.9561040288840338,0.9533103393404142
spapros_0_eye_10,0.8287326517361586,0.6273185652734974,0.042633081876995695,0.042633081876995695,0.950385659787141,0.9066616541353383
spapros_0_eye_11,0.8390248507430527,0.6305361369760782,0.04205267043515399,0.04205267043515399,0.9545126782972372,0.9343508771929822
spapros_0_eye_12,0.7319642449418275,0.5913255071508348,0.031407475885385776,0.031407475885385776,0.9259782702936591,0.8893801965230536
spapros_0_eye_13,0.7462977895071996,0.5567861755818708,0.02760603154356752,0.02760603154356752,0.8953955189628056,0.8246031746031746
spapros_0_eye_14,0.7744805542375931,0.5764961182806051,0.031728520277179525,0.031728520277179525,0.9151375198863363,0.8079743008314434
spapros_0_eye_15,0.853322663506256,0.6435725279054212,0.04446754493660398,0.04446754493660398,0.9440296027147382,0.8912054740024662
spapros_0_eye_16,0.8147547393600705,0.6212302076622377,0.03700949091111423,0.03700949091111423,0.9464789835446793,0.9044929784779405
spapros_0_eye_17,0.8328639016727921,0.6170693649912727,0.04212347548137656,0.04212347548137656,0.9547695020221664,0.9372576679794722
spapros_0_eye_18,0.8278464539741563,0.634680676364493,0.042701959742228596,0.042701959742228596,0.9547161429067195,0.9408223733938017
spapros_0_eye_19,0.8440657314738107,0.6346652893179033,0.04364665394191071,0.04364665394191071,0.9482508003579071,0.8887160759040454
spapros_0_eye_20,0.800512753016489,0.610522628507829,0.04053392597981745,0.04053392597981745,0.9501926509291565,0.8741118669690094
spapros_0_eye_21,0.8490075228482055,0.6395817815330067,0.044339405394610606,0.044339405394610606,0.9566868175820432,0.9563772924374424
spapros_0_eye_22,0.8492762384626913,0.6301306740461206,0.039007055033938705,0.039007055033938705,0.949162888260832,0.9126968214186254
spapros_0_eye_23,0.8371647026827244,0.6215870661616376,0.042215883711635364,0.042215883711635364,0.9529281584166804,0.9717165930699763
spapros_0_eye_24,0.8016269915273653,0.6034628463137262,0.037969463051492056,0.037969463051492056,0.9416703397430337,0.8582388510959935
spapros_0_eye_25,0.8531039159503291,0.6174119974153713,0.04107851172602229,0.04107851172602229,0.9526077307174985,0.9132868679635593
spapros_0_eye_26,0.8463307042229845,0.6301741921101012,0.04088312301572044,0.04088312301572044,0.9551270473261526,0.9483669491188286
spapros_0_eye_27,0.8242869835729828,0.6224597259823255,0.03705924326764545,0.03705924326764545,0.9493592596419119,0.912119505111986
spapros_0_eye_28,0.8484211806422226,0.6203857402371241,0.0399357028869669,0.0399357028869669,0.95037318581267,0.918582408401957
spapros_0_eye_29,0.8237109537648479,0.623699048048599,0.03992438205503121,0.03992438205503121,0.9492765124582306,0.9063889883438753
spapros_0_eye_30,0.8400199184306252,0.6332938621137989,0.04209387239847262,0.04209387239847262,0.952042197539528,0.9469497553407323
spapros_0_eye_31,0.8558581399498267,0.6312890229775986,0.04294394076330583,0.04294394076330583,0.9539129636766862,0.9769733858455659
spapros_0_eye_32,0.8442783660230232,0.6354387160071642,0.04494382429299894,0.04494382429299894,0.9575768729147044,0.9432041214146473
spapros_0_eye_33,0.8262199813703452,0.6110469678969767,0.036747290830599286,0.036747290830599286,0.9528129163055634,0.9118264709392525
spapros_0_eye_34,0.8409499162185564,0.6289234913520974,0.044470048059824505,0.044470048059824505,0.9559735079439514,0.9526047658829608
spapros_0_eye_35,0.8444202050921263,0.6330619293571322,0.04667174969595938,0.04667174969595938,0.9558052012918584,0.9522673350041769
spapros_0_eye_36,0.8338660164762697,0.6169162258517897,0.043605943409368714,0.043605943409368714,0.9566596955289961,0.938530930500855
spapros_0_eye_37,0.851161164103527,0.6455380305884969,0.04604636194315591,0.04604636194315591,0.9617988454660276,0.9777805625174044
spapros_0_eye_38,0.8375772004971103,0.6318340054791816,0.04168481050517478,0.04168481050517478,0.9507528571397323,0.9202105263157891
spapros_0_eye_39,0.8552488058806003,0.6378317860596052,0.04417293896380573,0.04417293896380573,0.9568726978330347,0.970718542387715
spapros_0_eye_40,0.8409270656147945,0.6288794014549679,0.04343815936621874,0.04343815936621874,0.9530290150453091,0.9314162390102239
spapros_0_eye_41,0.8687561538140025,0.6396615332112129,0.04434984071308615,0.04434984071308615,0.9587851465787695,0.9602393284799299
spapros_0_eye_42,0.8503079162424836,0.6291484727569381,0.044038154239187666,0.044038154239187666,0.9508080649393184,0.9095214226041292
spapros_0_eye_43,0.8495908789487259,0.6396392203556301,0.04396415608964273,0.04396415608964273,0.9584896736264618,0.9325754863348844
spapros_0_eye_44,0.828295371509277,0.5968998929076333,0.0369375406670743,0.0369375406670743,0.9523135062406142,0.8960317460317457
spapros_0_eye_45,0.8302377609588207,0.6212015851053687,0.04155474037983801,0.04155474037983801,0.9514085870912471,0.9261240402593783
spapros_0_eye_46,0.8328854954075704,0.6159181572555005,0.039939761508214995,0.039939761508214995,0.9546523175289898,0.9271562238930654
spapros_0_eye_47,0.838789143371225,0.6305130821534594,0.04075788586365852,0.04075788586365852,0.9520203446977805,0.922596968612006
spapros_0_eye_48,0.8316380264636967,0.6326278517903754,0.042031450343233995,0.042031450343233995,0.9536983213275977,0.9215238890877987
spapros_0_eye_49,0.8385022945771445,0.6290492174809339,0.042338425491408746,0.042338425491408746,0.9556216478054188,0.931101961252337
spapros_0_eye_50,0.8394493374754474,0.6288485825902885,0.0425349618037142,0.0425349618037142,0.9572502954379493,0.9690497672753308
spapros_0_eye_51,0.8235154500732227,0.6248767273111306,0.0421318417611171,0.0421318417611171,0.9532842082866894,0.9244636989298639
spapros_0_eye_52,0.8335184557541913,0.6270506748523212,0.04198209606205349,0.04198209606205349,0.9546687025559594,0.917319648327167
spapros_0_eye_53,0.8250371182134191,0.6234333062057088,0.043472734017317965,0.043472734017317965,0.9604148390327032,0.9645730198512151
spapros_0_eye_54,0.8266793515291386,0.6240165436666217,0.04160142100154074,0.04160142100154074,0.9547055573968573,0.9282561164816803
spapros_0_eye_55,0.8380888433221926,0.6286729997504663,0.04254480392133357,0.04254480392133357,0.9516307599996994,0.909570990969487
