,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full
spapros_0_eye_0,0.3095705636823325,0.32765217535739766,0.8339149810969413,0.7337422671986562,0.008770033938732488,0.008770033938732488
spapros_0_eye_1,0.3549960088819243,0.3459218843325999,0.8742732190793499,0.8310869565217391,0.010487319022731504,0.010487319022731504
spapros_0_eye_2,0.233538032874726,0.28554502569921797,0.8415284430632564,0.7722184873949578,0.008005160007803469,0.008005160007803469
spapros_0_eye_3,0.17293527818808435,0.22590876153341527,0.7181542935898813,0.4863268780270845,0.006753458330130907,0.006753458330130907
spapros_0_eye_4,0.4696948851167734,0.3664364079800759,0.8208191064715702,0.6495508399646328,0.008632986562545129,0.008632986562545129
spapros_0_eye_5,0.7447103878182955,0.49823035907299734,0.9666849696447134,0.9395726495726496,0.0278980788647824,0.0278980788647824
spapros_0_eye_6,0.2894265965908158,0.3144510210002611,0.817501672759844,0.7,0.01377749599055295,0.01377749599055295
spapros_0_eye_7,0.3286168834718642,0.35374154385434275,0.8888451976221232,0.8605797101449275,0.011995379208766319,0.011995379208766319
spapros_0_eye_8,0.5568199847520261,0.4298683725851699,0.9471350991731928,0.9096581196581196,0.01692311736040317,0.01692311736040317
spapros_0_eye_9,0.38705352300903006,0.37212951918134796,0.9082110340261735,0.8998550724637682,0.013104016624181144,0.013104016624181144
spapros_0_eye_10,0.22446937727123487,0.31396290476716743,0.8472306870859585,0.7347058823529411,0.0106966531656007,0.0106966531656007
spapros_0_eye_11,0.5267368419502543,0.41887092142890275,0.9375756748815437,0.9,0.015526329047083492,0.015526329047083492
spapros_0_eye_12,0.6754789103707556,0.4794720933611113,0.9614577110238866,0.9201994301994303,0.023948385431205848,0.023948385431205848
spapros_0_eye_13,0.690956438145395,0.5018558747065092,0.9652507615283825,0.9516524216524218,0.025702121173175593,0.025702121173175593
spapros_0_eye_14,0.6386947783111591,0.4772319432473891,0.9570299199391306,0.9,0.023826275443878844,0.023826275443878844
spapros_0_eye_15,0.5269952197499785,0.4244713383081131,0.9467639882350619,0.9,0.017108784015655958,0.017108784015655958
spapros_0_eye_16,0.5233312616921652,0.4220816751916042,0.9544852314548444,0.9,0.01901140305428905,0.01901140305428905
spapros_0_eye_17,0.1747565942433713,0.24953650570879748,0.8117679255729016,0.713106444360881,0.006680368401374492,0.006680368401374492
spapros_0_eye_18,0.28661597287179086,0.30580817259676024,0.8548752926752966,0.7806625258799171,0.007943532017094291,0.007943532017094291
spapros_0_eye_19,0.30142471440263957,0.3438287866092872,0.8969752889558057,0.8570289855072462,0.012129835463302109,0.012129835463302109
spapros_0_eye_20,0.4878275529535264,0.4164827529510859,0.9599751483099768,0.9424216524216524,0.016957659880682287,0.016957659880682287
spapros_0_eye_21,0.5053131211006563,0.420862080040216,0.9196925135337504,0.8811594202898549,0.01646426752860359,0.01646426752860359
spapros_0_eye_22,0.605049768033977,0.4503910394102587,0.9599151053441568,0.9304558404558403,0.02091905171226431,0.02091905171226431
spapros_0_eye_23,0.4349482898447702,0.3800560343800185,0.9007072064333789,0.8123188405797102,0.011945582796770158,0.011945582796770158
spapros_0_eye_24,0.5172105537118308,0.4156764760628107,0.9409304511354772,0.9,0.017289978347528184,0.017289978347528184
spapros_0_eye_25,0.48630430964450116,0.39612266624000386,0.9525615175705019,0.9337606837606837,0.013902447720650267,0.013902447720650267
spapros_0_eye_26,0.5200774308622724,0.4103660261137863,0.9353583585868958,0.9,0.015270269296396365,0.015270269296396365
spapros_0_eye_27,0.5324297276734964,0.4515241729166001,0.9527436521064157,0.9,0.020705096622850423,0.020705096622850423
spapros_0_eye_28,0.48294042988228025,0.4093733185240991,0.9426621058347887,0.9,0.01537874846795808,0.01537874846795808
spapros_0_eye_29,0.506479574170155,0.42203308380228444,0.9322910291978843,0.9,0.017164415901273957,0.017164415901273957
spapros_0_eye_30,0.4685394132610868,0.3937376625205909,0.9310729357893563,0.8828260869565216,0.014623605704935951,0.014623605704935951
spapros_0_eye_31,0.4840062276196694,0.40092897319828147,0.9312405069683287,0.898550724637681,0.015459573907121823,0.015459573907121823
spapros_0_eye_32,0.4936081362721975,0.3965210048110078,0.9424948051898401,0.9,0.015259192634120337,0.015259192634120337
