,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_liver_0,0.8399598692309602,0.5578979446906668,0.5569532223099056,0.49706139877507516
spapros_0_liver_1,0.8660942394849361,0.7365400746523302,0.601233041830211,0.5463001488076135
spapros_0_liver_2,0.6996034534657372,0.2620330048096678,0.3831347216951453,0.34437102802434333
spapros_0_liver_3,0.4656533180723184,0.07029335912314627,0.18232932077577105,0.1920423183281875
spapros_0_liver_4,0.8245511152812418,0.4839980874837556,0.5627731707611531,0.4870320453936584
spapros_0_liver_5,0.7530599273700255,0.38576606806271857,0.4737560647328183,0.41409659663901194
spapros_0_liver_6,0.8549298005506444,0.6426811829046378,0.5910420488729233,0.5289011556281507
spapros_0_liver_7,0.7289084570388676,0.39691620252367915,0.4906665590743665,0.4319935317311299
spapros_0_liver_8,0.8506958251001161,0.6154101984582894,0.6108164641298388,0.5632658833246712
spapros_0_liver_9,0.8513312875260577,0.6662019938686948,0.5789137051445055,0.5503399245021263
spapros_0_liver_10,0.8136512270981545,0.487334620460766,0.5312297469150058,0.4727623463886676
spapros_0_liver_11,0.6133570880735829,0.20802763116391765,0.29134483722689414,0.28591254819399314
spapros_0_liver_12,0.8344048525740526,0.5621013426930438,0.5731634304178531,0.5240277573538492
spapros_0_liver_13,0.8342311724867529,0.521909461798304,0.5549378817141919,0.4885206583684377
spapros_0_liver_14,0.7598112590460088,0.40497580296355024,0.4581938265094909,0.4169330064039286
spapros_0_liver_15,0.8481605953480948,0.6182499873528172,0.5994940802728743,0.5412634475142732
spapros_0_liver_16,0.8424763593722928,0.6358155804039912,0.5629367045283895,0.49788752068656983
spapros_0_liver_17,0.8272188821500557,0.4899923570922495,0.5830312215397813,0.5247199154376008
spapros_0_liver_18,0.8470652251887298,0.6022810298826694,0.5874878391818988,0.5199419772500132
spapros_0_liver_19,0.8095927264001177,0.4380740175490429,0.5221477800978409,0.4633700151597841
spapros_0_liver_20,0.8299408251823436,0.49513010972708904,0.5442286683282666,0.48174309645861035
spapros_0_liver_21,0.847137192415812,0.6539575514587834,0.574715866972644,0.5049781194288603
spapros_0_liver_22,0.8201440161116321,0.5148058320266011,0.5531126115477087,0.49149121898741244
spapros_0_liver_23,0.8327558209463498,0.6263669343040976,0.5692660181002582,0.5025577930897951
spapros_0_liver_24,0.8271019578122337,0.5790245429924231,0.5352067477450293,0.48178717339500404
spapros_0_liver_25,0.852240426773665,0.6555987080862017,0.5823388564576369,0.5365235088885564
spapros_0_liver_26,0.8388120021609354,0.5459618033029588,0.5806020380620703,0.5115608210994572
spapros_0_liver_27,0.8122727547023583,0.4612058948552262,0.5398595412587788,0.4785050214733461
spapros_0_liver_28,0.8314126632418769,0.5508481268371954,0.536267854399939,0.47614395080564903
spapros_0_liver_29,0.8176159491002761,0.49981919410663306,0.5467167144847191,0.4816298067222397
spapros_0_liver_30,0.8378156601613083,0.5554306684632593,0.5915711079992517,0.5301158489488238
spapros_0_liver_31,0.8032449105535858,0.43027127046265756,0.5305582024327203,0.4689481775300413
spapros_0_liver_32,0.8200623477568645,0.48252741610045846,0.545110434311594,0.4798936039912256
spapros_0_liver_33,0.8037183319814268,0.4545468784256064,0.5528830572787998,0.4814333145067879
