,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_liver_0,0.41705486976577516,0.3695773384811937,0.7186746034714425,0.37659042180960306
spapros_0_liver_1,0.33437023999966387,0.30457280969211015,0.640443967113651,0.23602150130373792
spapros_0_liver_2,0.5270841250809009,0.4611166042999343,0.8080391590389167,0.6905583558978405
spapros_0_liver_3,0.15635379402811772,0.1813858526269297,0.34469930702213475,0.03356872294372324
spapros_0_liver_4,0.47593783626393427,0.3962830223163438,0.7495938768719542,0.4247391037446286
spapros_0_liver_5,0.4147176809259541,0.3781050325579951,0.709640686981404,0.2532025615874392
spapros_0_liver_6,0.3992561306645793,0.35683428156403263,0.6839418314396133,0.30367837576333506
spapros_0_liver_7,0.4470568623107254,0.379377901609024,0.7052914036473308,0.2400217266827586
spapros_0_liver_8,0.33870970281939905,0.3215877353507871,0.6681694883459808,0.32048899875112424
spapros_0_liver_9,0.33501248286663,0.30527449818083296,0.6521632233977415,0.22614380333315587
spapros_0_liver_10,0.4479488038738486,0.39510005723470043,0.7506867976737888,0.4239115311533355
spapros_0_liver_11,0.21543224042889014,0.2517300099273558,0.5344925534695922,0.009404761904762254
spapros_0_liver_12,0.43479050837624167,0.37338577774521564,0.725901765398757,0.39404542664211184
spapros_0_liver_13,0.4634475975997988,0.4076030275852472,0.7842767104040848,0.5668495845661565
spapros_0_liver_14,0.4690227930220071,0.4160443317903567,0.7895151709880369,0.6278049874340346
spapros_0_liver_15,0.396271772789476,0.3444827277934607,0.7155614583466537,0.36466503637955505
spapros_0_liver_16,0.4313203231820769,0.3815570984313688,0.7755614252867787,0.5771115363128748
spapros_0_liver_17,0.43034928269963335,0.3719875577343649,0.7023129199295379,0.3167290019815139
spapros_0_liver_18,0.42573043576268,0.36638980289294687,0.712419952704598,0.37325918285744836
spapros_0_liver_19,0.4488105678869084,0.4063043293422707,0.7757454256438195,0.5844935092494341
spapros_0_liver_20,0.4440926696470494,0.4030469393277049,0.7692647395715184,0.5094477677773186
spapros_0_liver_21,0.3568868614888624,0.3359382382242986,0.6857903679705826,0.22183271915642722
spapros_0_liver_22,0.462585154243597,0.4094430819003388,0.7573961004886506,0.43401890470250176
spapros_0_liver_23,0.43386689574089493,0.3828399534127977,0.7633640191605083,0.49564939708519873
spapros_0_liver_24,0.4783919829354819,0.4177611717826107,0.7767207298150127,0.5267798612014142
spapros_0_liver_25,0.39248434356833445,0.34150379802809494,0.6854751831531338,0.2727677094970909
spapros_0_liver_26,0.377002539246832,0.3354955290242255,0.7235648941074462,0.40719062877206996
spapros_0_liver_27,0.48392977109217206,0.406755905252891,0.7751440931070211,0.600891984946753
spapros_0_liver_28,0.43948119606684466,0.38672727634066406,0.7796795420875883,0.47789481833435704
spapros_0_liver_29,0.43244704670839756,0.38473492193787073,0.7535129169981655,0.43018853848544536
spapros_0_liver_30,0.4438386429257375,0.3849730498889785,0.7242049802962749,0.34070475758949537
spapros_0_liver_31,0.42412411787528453,0.3822852725870697,0.7491477669499884,0.4314414325886468
spapros_0_liver_32,0.47620981579299887,0.40618075304611123,0.7633990334075023,0.46094903218337685
spapros_0_liver_33,0.4532085746772855,0.3975012938904139,0.7650226320702372,0.5245435158167902
