data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation
0,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_0
1,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_1
2,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_2
3,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_3
4,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_4
5,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_5
6,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_6
7,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_7
8,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_8
9,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_9
10,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_10
11,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_11
12,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_12
13,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_13
14,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_14
15,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_15
16,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_16
17,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_17
18,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_18
19,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_19
20,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_20
21,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_21
22,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_22
23,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_23
24,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_24
25,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_25
26,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_26
27,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_27
28,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_28
29,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_29
30,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_30
31,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_31
32,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_32
33,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_33
34,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_34
35,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_35
36,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_36
37,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_37
38,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_38
39,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_39
40,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_40
41,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_41
42,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_42
43,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_43
44,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_44
45,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_45
46,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_46
47,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_47
48,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_48
49,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_49
50,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_50
51,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_51
52,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_52
53,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_53
54,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_54
55,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_55
56,eye,lognorm,cell_type,None,0,None,None,None
57,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_0
58,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_1
59,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_2
60,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_3
