,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap mean_overlap_AUC,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_0_HLCA_61,0.6828081012759376,0.2740890688259109,0.2699740825503832,0.4382931055571726,,,
spapros_0_HLCA_62,0.8193278269679884,0.6130946573183881,0.458962235408724,0.4036341293893352,,,
spapros_0_HLCA_63,0.7810954370931008,0.5190757245346307,0.4425695614738855,0.3910164162973245,,,
spapros_0_HLCA_64,0.862253120479782,0.7258382044600055,0.5186141056865382,0.4773827537481206,,,
spapros_0_HLCA_65,0.8084690632590494,0.5916881164763063,0.4749554708785494,0.4114895491795255,,,
spapros_0_HLCA_66,0.8345284266701247,0.6618001657385664,0.4566369720998405,0.3920565292600587,,,
spapros_0_HLCA_67,0.8326773450474357,0.6986420364546333,0.5929304022702723,0.5778656641069989,,,
spapros_0_HLCA_68,0.8074566369440193,0.556354600167154,0.4677532004533716,0.3954339069657546,,,
spapros_0_HLCA_69,0.8075848909188648,0.6065468549422336,0.4859669936403892,0.3898562418806723,,,
spapros_0_HLCA_70,0.8363736906808888,0.6588394062078271,0.4537106072985768,0.4050851583591082,,,
spapros_0_HLCA_71,0.8421240266779007,0.6614933438207166,0.4465086404678079,0.4128776939112398,,,
spapros_0_HLCA_72,0.8225387056885963,0.6652823557891946,0.4776816709274146,0.4194970368982066,,,
spapros_0_HLCA_73,0.8434131664679038,0.6822172544487477,0.4925375475869484,0.4420961157384488,,,
spapros_0_HLCA_74,0.8303200993883828,0.640706322641095,0.4739832040374064,0.4283667235812451,,,
spapros_0_HLCA_75,0.8146394543461095,0.6553122304405999,0.4915656003777854,0.4554525466333508,,,
spapros_0_HLCA_76,0.8549346532501928,0.718635002139495,0.4906054396149881,0.4244695049440959,,,
spapros_0_HLCA_77,0.8075419352117157,0.5732497738873433,0.4574389723392518,0.3766741145719087,,,
spapros_0_HLCA_78,0.8175529575750184,0.5912553898818338,0.5660742904744342,0.5005388564545481,,,
spapros_0_HLCA_79,0.8272849377535807,0.6154892494451737,0.4761002203351637,0.4205059616399609,,,
spapros_0_HLCA_80,0.8169273785092903,0.6214470849836704,0.4538890921571725,0.4041709578198875,,,
spapros_0_HLCA_81,0.840133169659678,0.6592315653071431,0.436354651811716,0.3622407361609054,,,
spapros_0_HLCA_82,0.8273107849786737,0.6070726160477978,0.4841681389950976,0.3995814619996956,,,
spapros_0_HLCA_83,0.8284542885961782,0.5867710659073001,0.4836257550277484,0.417111584215699,,,
spapros_0_HLCA_84,0.832587200328596,0.6915101543727986,0.4337925089357687,0.4111597190917557,,,
spapros_0_HLCA_85,0.8319879071824277,0.5910590500641847,0.4441287383959914,0.4039132371228012,,,
spapros_0_HLCA_86,0.8332431807893208,0.6444468033749161,0.4487288791604349,0.3924898008225029,,,
spapros_0_HLCA_87,0.7990755931920079,0.5708881236850106,0.4407479030750163,0.3665092187143802,,,
spapros_0_HLCA_88,0.8069392177240854,0.622257209976508,0.4699045709591299,0.4270337922641761,,,
spapros_0_HLCA_89,0.8046906445526061,0.6051532512401147,0.4772782444309367,0.3877237792978144,,,
spapros_0_HLCA_90,0.8064589091089582,0.6015388006453443,0.4517836174176411,0.3833276930093227,,,
spapros_0_HLCA_91,0.820298934651027,0.6205144495434006,0.4610726740967582,0.3968070241255267,,,
spapros_0_HLCA_92,0.8411616521997205,0.6201385734505117,0.4971826891455082,0.4007305584436585,,,
spapros_0_HLCA_93,0.8350172544639957,0.6701850402651258,0.4422822193465188,0.3850560909992053,,,
spapros_0_HLCA_94,0.8148661805927004,0.6389439997856418,0.4592900193808622,0.3711296964711679,,,
spapros_0_HLCA_95,0.8493114418733894,0.7311617153508466,0.4652258711914446,0.3946862774957301,,,
spapros_0_HLCA_96,0.8198867292297867,0.5813608942562661,0.4507561980207579,0.3790285494465046,,,
spapros_0_HLCA_97,0.8324200375621297,0.673477446969281,0.4950514253225655,0.4406327143068102,,,
spapros_0_HLCA_98,0.8337653550789081,0.6346509505645148,0.4563940335641729,0.3844675220178973,,,
spapros_0_HLCA_99,0.8183451051315545,0.6279051616579076,0.4769515069980231,0.4138077479616763,,,
spapros_0_HLCA_100,0.8445067489498131,0.6554807280866329,0.4842638733078427,0.4197224066844452,,,
spapros_0_HLCA_101,0.8200904869824902,0.6287479572696162,0.4803701220940208,0.4220758153126148,,,
spapros_0_HLCA_102,0.807410781137533,0.5650536480746149,0.4546475969510778,0.3901317184888793,,,
spapros_0_HLCA_103,0.8043634192966758,0.5719818149567826,0.4421191799244894,0.3742535056441371,,,
spapros_0_HLCA_104,0.8382818989098241,0.7283825417201539,0.4808553373782596,0.400950651698923,,,
spapros_0_HLCA_105,0.8399804967214692,0.6807270991738257,0.4921312707948884,0.4246122820211271,,,
spapros_0_HLCA_106,0.8407482837909603,0.6464797077120569,0.4792177142130341,0.4045907963946309,,,
spapros_0_HLCA_107,0.8001490619859704,0.6052094197061838,0.4445462557871288,0.3746096589006168,,,
spapros_0_HLCA_108,0.8275740185416002,0.633948219316804,0.4881723600947631,0.4083696986160561,,,
spapros_0_HLCA_109,0.8192575741503052,0.6474789311545835,0.4569577130684418,0.3964943144930899,,,
spapros_0_HLCA_110,0.8191772426954953,0.6408436681307881,0.4527113894560105,0.370368616372467,,,
spapros_0_HLCA_111,0.8211341547733159,0.6257667621210624,0.4618027360839077,0.3929930059223224,,,
spapros_0_HLCA_112,0.8131442292024013,0.6433637197389973,0.4419682449319065,0.3906897229822045,,,
spapros_0_HLCA_113,0.8514240374667107,0.711547425403207,0.4782625796053201,0.4066038832185981,,,
spapros_0_HLCA_114,0.8131741750680537,0.6228870687942145,0.4924161599860142,0.390189915652461,,,
spapros_0_HLCA_115,0.8218592908741535,0.6099374013078197,0.4822710880801268,0.4052727691901183,,,
spapros_0_HLCA_116,0.806153567796428,0.5563049274217438,0.4807974271489914,0.3807908281391868,,,
spapros_0_HLCA_117,0.8392196628082063,0.6767693624304663,0.4839638517242627,0.4118342871925929,,,
spapros_0_HLCA_118,0.8305595978205755,0.6505756887528389,0.4845958492565811,0.3993549095661492,,,
spapros_0_HLCA_119,0.8316389835984203,0.6314465363951886,0.4343090792016334,0.397828712490656,,,
spapros_0_HLCA_120,0.8306349484264883,0.6580790108087966,0.4651795880106157,0.4077800621311624,,,
spapros_0_HLCA_121,0.8298838204587745,0.6422961719495738,0.4632672886207881,0.4122792994480677,,,
spapros_0_HLCA_122,0.816325513660197,0.622753365590336,0.4782608312795675,0.4061183165350545,,,
spapros_0_HLCA_123,0.8316465433753326,0.6433297126493529,0.4731782265031006,0.4115347846665759,,,
spapros_0_HLCA_124,0.8214590891735988,0.6419949968730455,0.466483647126481,0.3862698714561364,,,
spapros_0_HLCA_125,0.8442482654447939,0.7225045139798868,0.4401156007394005,0.3775515441295344,,,
spapros_0_HLCA_126,0.8295668775966774,0.5889865803066486,0.4957055717321921,0.3914271231793526,,,
spapros_0_HLCA_127,0.823410146636315,0.6341466706165036,0.4807437257203302,0.3952907290527238,,,
spapros_0_HLCA_128,0.8279117049942833,0.6606440855456688,0.4839234782758499,0.4286712718535153,,,
spapros_0_HLCA_129,0.8216522887593981,0.6557282512096375,0.4796358286973838,0.4187256694690694,,,
spapros_0_HLCA_130,0.82809597573223,0.6405674976823023,0.4520052967848553,0.3815689115741517,,,
spapros_0_HLCA_131,0.8275847758079756,0.649013668386796,0.4755850365124833,0.4110690552793262,,,
spapros_1_HLCA_132,0.7993821887287834,0.6589434185839832,0.029218956101056917,0.19315168370900107,0.01349383836541952,0.01349383836541952,0.01349383836541952
spapros_0_HLCA_132,0.862253120479782,0.7258382044600055,0.5186141056865382,0.4773827537481206,0.021692411498521434,0.021692411498521434,0.021692411498521434
spapros_2_HLCA_132,0.8783426670436442,0.8026049269138265,0.7222203944208703,0.707549236685014,0.04290461718790996,0.04290461718790996,0.04290461718790996
spapros_3_HLCA_132,0.8893470895245499,0.8303073361449397,0.8257760603101686,0.7948425881022286,0.08794179078556427,0.08794179078556427,0.08794179078556427
spapros_4_HLCA_132,0.901241000828631,0.908497169811457,0.8872730950629849,0.8589586044269086,0.22694330742792304,0.22694330742792304,0.22694330742792304
spapros_5_HLCA_132,0.9118435551537516,0.9216578897511901,0.896423380706097,0.8929166257518506,0.4690110416107921,0.4690110416107921,0.4690110416107921
spapros_6_HLCA_132,0.9146809377779814,0.9070231133389028,0.9075596668677115,0.9088154210695173,0.7198826571841744,0.7198826571841744,0.7198826571841744
spapros_10_HLCA_132,0.9173720201025849,0.9102879553724881,0.9111551074602745,0.9104119168250826,0.8398279270975202,0.8398279270975202,0.8398279270975202
spapros_11_HLCA_132,0.9175572384046816,0.9222159041725864,0.9246429253258092,0.9097551184876927,0.9235215873151194,0.9235215873151194,0.9235215873151194
spapros_7_HLCA_132,0.9183366794769888,0.9229013460827297,0.9184780723064905,0.9121731457152918,0.9571756622216365,0.9571756622216365,0.9571756622216365
spapros_1_HLCA_133,0.6916607792998577,0.2316437645838735,0.11406446031582029,0.2529021990699013,0.010630116567428727,0.010630116567428727,0.010630116567428727
spapros_0_HLCA_133,0.8063209566312203,0.5774587923626976,0.5514710324669699,0.5103291203897238,0.01951586504442006,0.01951586504442006,0.01951586504442006
spapros_2_HLCA_133,0.8459778676103975,0.73172607461695,0.6004208766980197,0.6058448304581218,0.034537596537288835,0.034537596537288835,0.034537596537288835
spapros_3_HLCA_133,0.8765479301997717,0.8134298537998816,0.6954352062048427,0.6984296594470913,0.056982709273130386,0.056982709273130386,0.056982709273130386
spapros_4_HLCA_133,0.90122640533915,0.8801760903440635,0.8095946407434159,0.8118128735763868,0.13934619078977878,0.13934619078977878,0.13934619078977878
spapros_5_HLCA_133,0.9135453381504373,0.9097597421449605,0.8695012151031227,0.8641004713622753,0.3008415825358589,0.3008415825358589,0.3008415825358589
spapros_6_HLCA_133,0.9121136050262294,0.8991329763028342,0.8796872583775408,0.8962345726464133,0.5815544136021393,0.5815544136021393,0.5815544136021393
spapros_10_HLCA_133,0.9153671329996161,0.9122250069618488,0.9114544724866198,0.9073293325106849,0.7428536305744804,0.7428536305744804,0.7428536305744804
spapros_11_HLCA_133,0.9149193595422991,0.9139243513269135,0.9085386501642794,0.9074046022019309,0.8489301191220189,0.8489301191220189,0.8489301191220189
spapros_7_HLCA_133,0.9166588878035851,0.9207802444472482,0.9086968828216451,0.9103098832640363,0.9035755608311994,0.9035755608311994,0.9035755608311994
spapros_1_HLCA_134,0.5573458948217226,0.10526315789473684,0.192399918710874,0.3136484321118102,0.011722998112726831,0.011722998112726831,0.011722998112726831
spapros_0_HLCA_134,0.6828081012759376,0.2740890688259109,0.26997408255038324,0.4382931055571726,0.015338364373733374,0.015338364373733374,0.015338364373733374
spapros_2_HLCA_134,0.7669332848645191,0.47258085473612294,0.5728648774939253,0.5289381824777912,0.01980392065464779,0.01980392065464779,0.01980392065464779
spapros_3_HLCA_134,0.8084433310825133,0.6613240418118466,0.6331114070527115,0.6120723613985215,0.03179554662392134,0.03179554662392134,0.03179554662392134
spapros_4_HLCA_134,0.8584377183987577,0.7206250389278276,0.7192361156399159,0.7428442992243874,0.0684092704189637,0.0684092704189637,0.0684092704189637
spapros_5_HLCA_134,0.8724597651135364,0.7329438252842508,0.8295422043422868,0.8273071708549272,0.15700360642616135,0.15700360642616135,0.15700360642616135
spapros_6_HLCA_134,0.8841584567593851,0.7775444830598442,0.8939385552759167,0.8780383249728155,0.35616252977752266,0.35616252977752266,0.35616252977752266
spapros_10_HLCA_134,0.8909641826418194,0.8045641341507743,0.8946020396087422,0.8914737605643641,0.5166011733061426,0.5166011733061426,0.5166011733061426
spapros_11_HLCA_134,0.8935430328275373,0.8042276778388567,0.9107506428289134,0.9012421897403378,0.6095645504300984,0.6095645504300984,0.6095645504300984
spapros_7_HLCA_134,0.895973105402273,0.8057330371698874,0.9204582390260072,0.9037821217509363,0.7031905425641625,0.7031905425641625,0.7031905425641625
spapros_1_HLCA_135,0.7058272151971107,0.4358202385353548,0.13960097468640909,0.27010619949707176,0.013675123140266806,0.013675123140266806,0.013675123140266806
spapros_0_HLCA_135,0.8345284266701247,0.6618001657385664,0.45663697209984055,0.3920565292600587,0.016006693718391134,0.016006693718391134,0.016006693718391134
spapros_2_HLCA_135,0.8715527842746424,0.7795890818578176,0.5505072281820195,0.5401702177938926,0.029601338089999353,0.029601338089999353,0.029601338089999353
spapros_3_HLCA_135,0.8846499087240552,0.8308558832935421,0.7113610382295468,0.7264485832211616,0.060044928845288816,0.060044928845288816,0.060044928845288816
spapros_4_HLCA_135,0.9059022828233161,0.8833268953390221,0.8385965176138251,0.8281812611057158,0.15674455247600738,0.15674455247600738,0.15674455247600738
spapros_5_HLCA_135,0.9128103274232323,0.8969508271630471,0.8758542022795028,0.8755064195997413,0.3125034853854777,0.3125034853854777,0.3125034853854777
spapros_6_HLCA_135,0.9163223496134816,0.9153343602331666,0.907506974943713,0.8997255810117448,0.5935778275375596,0.5935778275375596,0.5935778275375596
spapros_10_HLCA_135,0.914871524764208,0.9049300787574078,0.9097695772584469,0.90964645480349,0.7532481171089545,0.7532481171089545,0.7532481171089545
spapros_11_HLCA_135,0.9158874469955544,0.917126842361049,0.9062569258659416,0.911211857653004,0.8555279462118922,0.8555279462118922,0.8555279462118922
spapros_7_HLCA_135,0.9164244549008821,0.9223497682105282,0.908753175146733,0.908614774485736,0.9013305795296035,0.9013305795296035,0.9013305795296035
spapros_1_HLCA_136,0.6971323477941941,0.27224880382775124,0.12701140139489753,0.2142050191085098,0.011390787002307641,0.011390787002307641,0.011390787002307641
spapros_0_HLCA_136,0.7990862228563763,0.5707258304414248,0.45902241083735995,0.3763346560507703,0.015007627562774148,0.015007627562774148,0.015007627562774148
spapros_2_HLCA_136,0.8305795539633254,0.6163965234119276,0.6224672791998611,0.5965643312873348,0.02848722687172454,0.02848722687172454,0.02848722687172454
spapros_3_HLCA_136,0.8590335774906364,0.7192948943146048,0.7346398512410538,0.6768461654852346,0.04667727301076363,0.04667727301076363,0.04667727301076363
