,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_1_HLCA_132,0.0121006415122351,0.659427868182473,0.2440543171823671,0.0658844873741789,0.1302026652221908,0.0121006415122351,0.0121006415122351
spapros_0_HLCA_132,0.0177499060775076,0.7440848713114625,0.403298659916021,0.7412128787614926,0.5950458099925979,0.0177499060775076,0.0177499060775076
spapros_2_HLCA_132,0.0346970963381804,0.7913604974611974,0.5877030985075984,0.7478367514976356,0.6434077536176787,0.0346970963381804,0.0346970963381804
spapros_3_HLCA_132,0.0712248227039813,0.8095934269988224,0.6459212116302491,0.7875453618172783,0.6994237530937251,0.0712248227039813,0.0712248227039813
spapros_4_HLCA_132,0.1901580825866118,0.8283938945993441,0.7624740653115165,0.8442887327792233,0.7709356367320026,0.1901580825866118,0.1901580825866118
spapros_5_HLCA_132,0.3827384410045029,0.8414776545681273,0.8166915113170102,0.8910837133741818,0.8216049082456163,0.3827384410045029,0.3827384410045029
spapros_6_HLCA_132,0.5955504579432159,0.8464154678633425,0.7994079711204329,0.9077665645738764,0.847942694520029,0.5955504579432159,0.5955504579432159
spapros_10_HLCA_132,0.7055918305946057,0.8497323144200364,0.8005847274859511,0.9197303794144776,0.8606273898159964,0.7055918305946057,0.7055918305946057
spapros_11_HLCA_132,0.8327010899456009,0.8558344223548341,0.8128184827318932,0.9302456746312636,0.8658191965219986,0.8327010899456009,0.8327010899456009
spapros_7_HLCA_132,0.8931179656774332,0.856717207563845,0.8252320607912935,0.9278141978067628,0.8675373895401975,0.8931179656774332,0.8931179656774332
spapros_1_HLCA_133,0.0111971581344223,0.6307063593827391,0.1710749408630158,0.098469965744371,0.1606663501490848,0.0111971581344223,0.0111971581344223
spapros_0_HLCA_133,0.019466409120334,0.768884323470141,0.4959816301405095,0.7149265812549997,0.5890880459654592,0.019466409120334,0.019466409120334
spapros_2_HLCA_133,0.0363539601766138,0.8071589001994024,0.6673487345331491,0.7700091550726815,0.6518952055649894,0.0363539601766138,0.0363539601766138
spapros_3_HLCA_133,0.072691600647166,0.8279846112375482,0.7429688318185825,0.821920295690912,0.7128004014821776,0.072691600647166,0.072691600647166
spapros_4_HLCA_133,0.1872778307176993,0.8414324183581332,0.8064214388457482,0.8560481665787141,0.7788246853245605,0.1872778307176993,0.1872778307176993
spapros_5_HLCA_133,0.3699577874903985,0.8494231225067335,0.8017275228644722,0.8827762457157151,0.8265028809710848,0.3699577874903985,0.3699577874903985
spapros_6_HLCA_133,0.6033803785228122,0.8562759329199309,0.823095340953791,0.9113077526152789,0.8512586960554419,0.6033803785228122,0.6033803785228122
spapros_10_HLCA_133,0.7315135594690272,0.8561860173989188,0.8339215779862584,0.920989494053939,0.8566300749100106,0.7315135594690272,0.7315135594690272
spapros_11_HLCA_133,0.8138339082694214,0.8550507344565134,0.8279433075524043,0.9287948338240228,0.8605520182497683,0.8138339082694214,0.8138339082694214
spapros_7_HLCA_133,0.8619720080254225,0.8569405802734447,0.831577140517294,0.9316578654152416,0.8651826303557112,0.8619720080254225,0.8619720080254225
spapros_1_HLCA_134,0.0110505909017827,0.4876889813819858,0.1187948421819391,0.1517625906497152,0.234584090046756,0.0110505909017827,0.0110505909017827
spapros_0_HLCA_134,0.0137485728073289,0.6098629038681643,0.2027595857178385,0.0898149781671373,0.4320744631294236,0.0137485728073289,0.0137485728073289
spapros_2_HLCA_134,0.0170430034203494,0.6839098233058098,0.2963984780231619,0.6962870655331238,0.546724165596695,0.0170430034203494,0.0170430034203494
spapros_3_HLCA_134,0.0291457423163845,0.7575693871036129,0.5308305294434446,0.7531975010316624,0.6219512660658462,0.0291457423163845,0.0291457423163845
spapros_4_HLCA_134,0.0657850068328828,0.7991714772912448,0.6305248873662596,0.8158482479680712,0.7148085190174474,0.0657850068328828,0.0657850068328828
spapros_5_HLCA_134,0.1522502911734215,0.8161534113214394,0.7078964525120336,0.8671751304606148,0.7808682003935259,0.1522502911734215,0.1522502911734215
spapros_6_HLCA_134,0.322743306033431,0.8232535319331664,0.7291730942784813,0.8980406716065157,0.8269885452743271,0.322743306033431,0.322743306033431
spapros_10_HLCA_134,0.4424289656606736,0.8299330358458387,0.7617734405083031,0.898884066293063,0.8410319847622189,0.4424289656606736,0.4424289656606736
spapros_11_HLCA_134,0.5247976745957996,0.8328895793399551,0.7567298552113222,0.9116460014517184,0.8477588962248322,0.5247976745957996,0.5247976745957996
spapros_7_HLCA_134,0.6519058528425622,0.8363452820175888,0.765051655921143,0.9262979924696014,0.8606221832392815,0.6519058528425622,0.6519058528425622
spapros_1_HLCA_135,0.0145894550803085,0.6711343412442137,0.3444664291845256,0.1622159964657731,0.2907831104258631,0.0145894550803085,0.0145894550803085
spapros_0_HLCA_135,0.0178689052615805,0.8032953935671128,0.6319446059081881,0.7622836666750066,0.605083497790492,0.0178689052615805,0.0178689052615805
spapros_2_HLCA_135,0.0392282774819636,0.8334548600439463,0.7635380275798083,0.7703952132330685,0.6582275638649303,0.0392282774819636,0.0392282774819636
spapros_3_HLCA_135,0.0922476599659787,0.8454978409642905,0.8127086631096522,0.8224494394270048,0.7380838209140917,0.0922476599659787,0.0922476599659787
spapros_4_HLCA_135,0.2498817725760462,0.8509627827389313,0.8200473935915316,0.867091372930571,0.8064882477331281,0.2498817725760462,0.2498817725760462
spapros_5_HLCA_135,0.4555443344111729,0.858578565299936,0.8407324090757005,0.9082208621933155,0.8451275950955216,0.4555443344111729,0.4555443344111729
spapros_6_HLCA_135,0.6973216861861331,0.8596459648722633,0.84158321493757,0.932152472112996,0.862291971405796,0.6973216861861331,0.6973216861861331
spapros_10_HLCA_135,0.823930254122706,0.859543801288147,0.8477098333007306,0.9283719405952756,0.8642594869695962,0.823930254122706,0.823930254122706
spapros_11_HLCA_135,0.8989787305210744,0.8603851082608165,0.8485808794616058,0.9352883308006108,0.8652783848237149,0.8989787305210744,0.8989787305210744
spapros_7_HLCA_135,0.951760695369532,0.8604650080931864,0.8561195453212701,0.9302988024351224,0.8684631705087625,0.951760695369532,0.951760695369532
spapros_1_HLCA_136,0.0110338669690188,0.5965001854430219,0.1421391326859241,0.1197126441342109,0.1688203677298841,0.0110338669690188,0.0110338669690188
spapros_0_HLCA_136,0.0164289479021452,0.729045653718016,0.4204676361758318,0.7259637208522269,0.5601510210230904,0.0164289479021452,0.0164289479021452
spapros_2_HLCA_136,0.0301791725387904,0.7792870297541338,0.5558050416919045,0.7507172806832807,0.6246049104192427,0.0301791725387904,0.0301791725387904
spapros_3_HLCA_136,0.057717367014067,0.8034047574240635,0.6614160321301058,0.7975995934798166,0.6940725907778782,0.057717367014067,0.057717367014067
spapros_4_HLCA_136,0.1558573190311902,0.8319511993306242,0.7471623532472065,0.8676679707160695,0.7706957348836772,0.1558573190311902,0.1558573190311902
spapros_5_HLCA_136,0.324592698032303,0.839965375917731,0.7822832805693581,0.9030984814097796,0.8231797098522273,0.324592698032303,0.324592698032303
spapros_6_HLCA_136,0.5347197646107156,0.8478569862096187,0.8051797120945869,0.9104916139941676,0.8518067917055678,0.5347197646107156,0.5347197646107156
spapros_10_HLCA_136,0.6403460685998295,0.8484711232345757,0.8224145455168295,0.9078452795434644,0.8590462500481479,0.6403460685998295,0.6403460685998295
spapros_11_HLCA_136,0.7316997909095897,0.8503702037421843,0.8243033776324584,0.9228906015111992,0.8631644494981352,0.7316997909095897,0.7316997909095897
spapros_7_HLCA_136,0.7959930834194766,0.8563775237207661,0.848548126113963,0.9217984313704816,0.8655723047616333,0.7959930834194766,0.7959930834194766
spapros_1_HLCA_137,0.0128294930473073,0.6046658894973485,0.1207515753456927,0.1686354451411462,0.2233186302837351,0.0128294930473073,0.0128294930473073
spapros_0_HLCA_137,0.0168310694202289,0.7439793651059144,0.4196639924871828,0.7276820608218466,0.590020417013228,0.0168310694202289,0.0168310694202289
spapros_2_HLCA_137,0.0336187658174222,0.788481066895688,0.5621945310206741,0.7557876295265311,0.6449852005299721,0.0336187658174222,0.0336187658174222
spapros_3_HLCA_137,0.0716700040332965,0.8225279124913282,0.7368068916897468,0.7940474570567861,0.7075702542242042,0.0716700040332965,0.0716700040332965
spapros_4_HLCA_137,0.203006412028556,0.8455305403185528,0.8000128260614171,0.8475702841526048,0.7977148285289706,0.203006412028556,0.203006412028556
spapros_5_HLCA_137,0.3802475224082023,0.847238824096578,0.8032468610862992,0.8779619323875911,0.8285970743197663,0.3802475224082023,0.3802475224082023
spapros_6_HLCA_137,0.5885704902951889,0.8499394795588874,0.8025970968249893,0.9110143677103308,0.8543781521117533,0.5885704902951889,0.5885704902951889
spapros_10_HLCA_137,0.7062234602509986,0.8518050817922904,0.8128614885479429,0.9101095923972494,0.8564019807245158,0.7062234602509986,0.7062234602509986
spapros_11_HLCA_137,0.7765447071887294,0.8518201319263612,0.8042484906013605,0.912066148080473,0.8586151444224541,0.7765447071887294,0.7765447071887294
spapros_7_HLCA_137,0.8523887096913563,0.8568948419459627,0.8332711975118405,0.9227070858716429,0.8648525299549392,0.8523887096913563,0.8523887096913563
spapros_1_HLCA_138,0.0141082734136047,0.6189386587341182,0.2007773138980488,0.1466713370311203,0.2078858121633541,0.0141082734136047,0.0141082734136047
spapros_0_HLCA_138,0.0141709145760316,0.7368122441632493,0.4071812644415732,0.7303868097326573,0.5669900441125998,0.0141709145760316,0.0141709145760316
spapros_2_HLCA_138,0.0258624959454767,0.7723386020244523,0.4901967394521595,0.7669825684386036,0.6154613396906811,0.0258624959454767,0.0258624959454767
spapros_3_HLCA_138,0.0434567452542012,0.8041977388558605,0.628464288872498,0.7974802469284457,0.6787004637430438,0.0434567452542012,0.0434567452542012
spapros_4_HLCA_138,0.1279857784224001,0.8263589201698004,0.7303506859084853,0.8439824228037378,0.764969145088795,0.1279857784224001,0.1279857784224001
spapros_5_HLCA_138,0.2827275282674527,0.8383867966953367,0.7710523384109004,0.8837612453212238,0.818824836209121,0.2827275282674527,0.2827275282674527
spapros_6_HLCA_138,0.4891460149107987,0.8431406848320374,0.7912747862666482,0.9027149655602154,0.8524336334105481,0.4891460149107987,0.4891460149107987
spapros_10_HLCA_138,0.6195249056170076,0.849644383689216,0.8118211455379801,0.9085186132119886,0.8574033608353728,0.6195249056170076,0.6195249056170076
spapros_11_HLCA_138,0.7198437287316691,0.8497635003295564,0.8280881248614026,0.9219359073208054,0.8607364562655743,0.7198437287316691,0.7198437287316691
spapros_7_HLCA_138,0.7831511843514628,0.8576246497941342,0.8511208337800341,0.9299102538641368,0.8599763444170285,0.7831511843514628,0.7831511843514628
spapros_1_HLCA_139,0.0147497881909551,0.6681243032380823,0.2625049981522932,0.0474064239482425,0.1892049755096763,0.0147497881909551,0.0147497881909551
spapros_0_HLCA_139,0.0206380126922582,0.7410861600365951,0.408453095215835,0.7360591119791311,0.6075024103212077,0.0206380126922582,0.0206380126922582
spapros_2_HLCA_139,0.0360463196760816,0.7636569445786537,0.539865969262203,0.7497303000729288,0.6486625936364269,0.0360463196760816,0.0360463196760816
spapros_3_HLCA_139,0.0676087421130225,0.8045422768662825,0.6963722971594766,0.8016146167653556,0.7168996882025052,0.0676087421130225,0.0676087421130225
spapros_4_HLCA_139,0.1753648829666849,0.8383977501661681,0.7935108129049294,0.8459369044274816,0.7812866421713605,0.1753648829666849,0.1753648829666849
spapros_5_HLCA_139,0.3616051012105368,0.8469533591660515,0.7928152906375668,0.8812807969386368,0.8217977482556422,0.3616051012105368,0.3616051012105368
spapros_6_HLCA_139,0.5796346116979767,0.8554233096428294,0.8195814994765782,0.9118239344117712,0.8431768693798223,0.5796346116979767,0.5796346116979767
