,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_0_HLCA_61,0.5238361840130947,0.5098525575835982,0.6338574213291917,0.2965173547242811,,,
spapros_0_HLCA_62,0.6159875754140811,0.5381205975242104,0.7844454792635208,0.5978404019403777,,,
spapros_0_HLCA_63,0.6063747000981727,0.5447996671602777,0.7536671098503822,0.5695044864639095,,,
spapros_0_HLCA_64,0.5877389104534849,0.4950492957412944,0.7450750874910793,0.4737845987467009,,,
spapros_0_HLCA_65,0.5512687862362514,0.4899395118886602,0.7413163318937623,0.4592145745619447,,,
spapros_0_HLCA_66,0.4676402058734396,0.429114727274773,0.7408553604825736,0.4132404528425614,,,
spapros_0_HLCA_67,0.391396682448776,0.4395318166594634,0.7196845544891902,0.3608807831545716,,,
spapros_0_HLCA_68,0.6233418150067171,0.5344900571791912,0.785411613173749,0.624341935247234,,,
spapros_0_HLCA_69,0.6069769343314688,0.5253466297909188,0.7899718282111179,0.6738775748266301,,,
spapros_0_HLCA_70,0.567996406472683,0.4738731422586381,0.7635965451800903,0.5322200515736711,,,
spapros_0_HLCA_71,0.4586625842405678,0.428095399082936,0.7524563907369793,0.475758258984731,,,
spapros_0_HLCA_72,0.6641268050102309,0.558116304563393,0.7977203647147016,0.6651660628893452,,,
spapros_0_HLCA_73,0.6048654362810906,0.518573394960877,0.7926351767615823,0.7057379035045287,,,
spapros_0_HLCA_74,0.5374337638961569,0.460711342796935,0.75895959727536,0.5226166888716994,,,
spapros_0_HLCA_75,0.6216341092010854,0.5207347411359038,0.7806485011599437,0.5991816329162639,,,
spapros_0_HLCA_76,0.6129906505737184,0.539205079303577,0.8080055604297116,0.7687357224952078,,,
spapros_0_HLCA_77,0.554367193637554,0.4840083901170766,0.7704871377459668,0.5512146614376241,,,
spapros_0_HLCA_78,0.6410177703766133,0.5529055116865822,0.7894962135868503,0.6404268291456416,,,
