,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_1_HLCA_132,0.7500949106322492,0.453175932874667,0.0167540786793253,0.1565601376448414,0.4197424293428941,0.0167540786793253,0.0167540786793253
spapros_0_HLCA_132,0.8061300934737333,0.6225576822280409,0.0202409070527267,0.6746402242079126,0.5986903987459747,0.0202409070527267,0.0202409070527267
spapros_2_HLCA_132,0.8397909821444316,0.7185672494689868,0.0309608597739556,0.7337119303756399,0.6699214538842453,0.0309608597739556,0.0309608597739556
spapros_3_HLCA_132,0.8546111547775777,0.7761884345989106,0.0606650799691219,0.8013395278100037,0.7486787734796085,0.0606650799691219,0.0606650799691219
spapros_4_HLCA_132,0.8726366987174943,0.8343102296455335,0.1491910576530498,0.8817524906717912,0.8248940103790197,0.1491910576530498,0.1491910576530498
spapros_5_HLCA_132,0.8807285090525436,0.8545519032765257,0.3145609223502079,0.909791320865488,0.8608411485055651,0.3145609223502079,0.3145609223502079
spapros_6_HLCA_132,0.8911420307861228,0.8775519113674738,0.5480003831366945,0.9276660560294064,0.8831332810680588,0.5480003831366945,0.5480003831366945
spapros_10_HLCA_132,0.8935406196780369,0.8733047932636439,0.7149886973280263,0.9314257358365234,0.8880404545604235,0.7149886973280263,0.7149886973280263
spapros_11_HLCA_132,0.8952529653242712,0.8805803793104485,0.8329363152655817,0.9357699272377196,0.8889920245373524,0.8329363152655817,0.8329363152655817
spapros_7_HLCA_132,0.8954913710171982,0.8969111466366042,0.901307513132302,0.9357699260576456,0.894101812671488,0.901307513132302,0.901307513132302
spapros_1_HLCA_133,0.6854026566117095,0.2510927056596304,0.014598390909756,0.1340220348500181,0.2348163797363362,0.014598390909756,0.014598390909756
spapros_0_HLCA_133,0.8053979451051532,0.5755943959705678,0.0205922759352154,0.6739977788358482,0.5894449028256703,0.0205922759352154,0.0205922759352154
spapros_2_HLCA_133,0.838945358645474,0.7287448282910627,0.0339446458585878,0.7520830906096403,0.655360418402534,0.0339446458585878,0.0339446458585878
spapros_3_HLCA_133,0.8590005308991926,0.8119750441579432,0.0635597462506878,0.8005572520710981,0.7413174464868925,0.0635597462506878,0.0635597462506878
spapros_4_HLCA_133,0.8810506868621661,0.8760120189846765,0.1436357428528703,0.8626441646817166,0.8217127104454306,0.1436357428528703,0.1436357428528703
spapros_5_HLCA_133,0.8871079201427351,0.8790276450035669,0.2854931531547123,0.906744678491221,0.8554882933916925,0.2854931531547123,0.2854931531547123
spapros_6_HLCA_133,0.8929507583493681,0.875321883797092,0.5174793142036841,0.9224275731338172,0.8754187474300832,0.5174793142036841,0.5174793142036841
spapros_10_HLCA_133,0.8944326771317521,0.8772254222261284,0.6867230013171768,0.9362917882286964,0.888893838525371,0.6867230013171768,0.6867230013171768
spapros_11_HLCA_133,0.8950521256226638,0.8839985754065404,0.8139673929449702,0.9360509062208976,0.8907589121099294,0.8139673929449702,0.8139673929449702
spapros_7_HLCA_133,0.89592295291272,0.8835262306364662,0.8985047228264056,0.9340471896624708,0.8866642860762898,0.8985047228264056,0.8985047228264056
spapros_1_HLCA_134,0.5950827540481022,0.235663720776503,0.0150933683744837,0.2111090960361988,0.3360086554299727,0.0150933683744837,0.0150933683744837
spapros_0_HLCA_134,0.6933581028631179,0.3851917132967032,0.0164537795052032,0.3721001756828969,0.4837684314944498,0.0164537795052032,0.0164537795052032
spapros_2_HLCA_134,0.7545351694430402,0.504628620503613,0.0228900522657757,0.7268075128387554,0.6145511943557393,0.0228900522657757,0.0228900522657757
spapros_3_HLCA_134,0.8022829908539245,0.5926757064106523,0.0367948434921859,0.7708802259095655,0.6919216252396639,0.0367948434921859,0.0367948434921859
spapros_4_HLCA_134,0.845337389626105,0.7379163502521713,0.0856924636666336,0.8393360724661785,0.7927294131830668,0.0856924636666336,0.0856924636666336
spapros_5_HLCA_134,0.8591030514324526,0.7832696636559476,0.1912150430550034,0.9036757286760526,0.8391908193281106,0.1912150430550034,0.1912150430550034
spapros_6_HLCA_134,0.8634634349059785,0.7996567987562522,0.3874665457502187,0.9222867878134962,0.8670489263424563,0.3874665457502187,0.3874665457502187
spapros_10_HLCA_134,0.8704822257213553,0.8127474024659421,0.5365730202736037,0.9321571878444004,0.8773461956008803,0.5365730202736037,0.5365730202736037
