,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_HLCA_61,0.49909808318659965,0.534093144758848,0.7520781921576123,0.5488285744334206
spapros_0_HLCA_62,0.677591744053738,0.6266736586651029,0.8999253151075864,0.8861523092292323
spapros_0_HLCA_63,0.6622334426359131,0.5888941723768595,0.8580737903531303,0.7302499059688083
spapros_0_HLCA_64,0.560651620965086,0.4972636219588537,0.8672191810867459,0.7828260478310286
spapros_0_HLCA_65,0.2882955445584583,0.469838313352659,0.8511128165469594,0.6865543263242434
spapros_0_HLCA_66,0.13155798662762277,0.3420304164821756,0.8405702303541219,0.6540762745160831
spapros_0_HLCA_67,0.11082932370110035,0.3988721072713763,0.7912740771003844,0.48442085245476196
spapros_0_HLCA_68,0.6820791466177178,0.6211376744952082,0.9019528147605713,0.9100910300957915
spapros_0_HLCA_69,0.24175835200164633,0.45502330789067436,0.8678726927453594,0.7669116618215017
spapros_0_HLCA_70,0.19369634784379827,0.44171715020071617,0.8491481899972082,0.741827696932125
spapros_0_HLCA_71,0.20093587775908378,0.4090059139275839,0.8418842520790262,0.6981152002213881
spapros_0_HLCA_72,0.3440918512758903,0.5210382524053563,0.8839176083011578,0.8721057739327311
spapros_0_HLCA_73,0.6748861698962441,0.6206981427688066,0.9017217458908753,0.898355832201986
spapros_0_HLCA_74,0.2302432261000124,0.46839345539903315,0.8595781618106095,0.7670226431368884
spapros_0_HLCA_75,0.5177244377212935,0.5324804040632476,0.8737976995878995,0.836696456578887
spapros_0_HLCA_76,0.49712099451408986,0.5893245861731105,0.9100120704798815,0.9397542420056489
spapros_0_HLCA_77,0.2321653241959094,0.4525540791962512,0.8699204195432245,0.7762450288219764
spapros_0_HLCA_78,0.6284271261523225,0.6025420790766627,0.8872549522265044,0.8353730565805181
spapros_0_HLCA_79,0.37525930340395564,0.4991816536410778,0.8798609394145291,0.8351276806583298
spapros_0_HLCA_80,0.12962445467766592,0.3268079057993612,0.839204607427262,0.6915830564986299
spapros_0_HLCA_81,0.18560226479099456,0.4270950239978501,0.8764835402158575,0.8022363447015918
spapros_0_HLCA_82,0.36930246444163123,0.5022063267605541,0.8917433169764256,0.8927128223593777
spapros_0_HLCA_83,0.20589489499250443,0.4620704882136518,0.8825647166497856,0.8587575003138823
spapros_0_HLCA_84,0.18901664869802245,0.47606159635991635,0.8830168976152224,0.8519172141670711
spapros_0_HLCA_85,0.22635867810124183,0.4868062300981581,0.8661978354531785,0.7711287113081836
spapros_0_HLCA_86,0.6773547738743159,0.5911697345934892,0.9048300437773787,0.8809229232306155
spapros_0_HLCA_87,0.417788976757981,0.5699512878099025,0.8907261905328399,0.8688513687266232
spapros_0_HLCA_88,0.6126284372442817,0.5558798103072219,0.8823557064091321,0.803843578709144
spapros_0_HLCA_89,0.25731563801385904,0.46094155508027035,0.8740108663241147,0.8082848810030918
spapros_0_HLCA_90,0.10848947571056053,0.4178718467926464,0.8614382348617224,0.7365097919173563
spapros_0_HLCA_91,0.642704593770022,0.5670710504600958,0.8860965632862455,0.8396270926961044
spapros_0_HLCA_92,0.641855031470519,0.5702026976178964,0.9024090284553685,0.8721637992233535
spapros_0_HLCA_93,0.17919069965921844,0.39837313861099666,0.8566877289617736,0.7058357207550555
spapros_0_HLCA_94,0.33016038102316,0.5187338817151081,0.8890991017113964,0.8724080121501354
spapros_0_HLCA_95,0.6603665973817456,0.6037563258144958,0.9066368467762552,0.9554566051001324
spapros_0_HLCA_96,0.17102802092363473,0.43136419109961877,0.8829409966726521,0.8162106306032748
spapros_0_HLCA_97,0.3988157054553054,0.46386438093813015,0.8670662804950202,0.788257054415398
spapros_0_HLCA_98,0.13692482968143005,0.42218311389072377,0.8990759958592551,0.9440906793936562
spapros_0_HLCA_99,0.2531497007309806,0.5163103396346046,0.898255488549895,0.9118252789168335
spapros_0_HLCA_100,0.43499775329592016,0.5150978581838717,0.8815595586173098,0.8147520457420131
spapros_0_HLCA_101,0.4324493685566635,0.556492450006935,0.8959490068799406,0.900182447393843
