,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_1_HLCA_132,0.0278389999826516,0.8049215578049103,0.5321206498392609,0.0278389999826516,0.0278389999826516,0.2832636277744127,0.3529002228379115
spapros_0_HLCA_132,0.0422442333294096,0.8559787822589573,0.7271069986505563,0.0422442333294096,0.0422442333294096,0.5921188996702393,0.5179502053667743
spapros_2_HLCA_132,0.0831620523240084,0.8752433528821228,0.7737528047440937,0.0831620523240084,0.0831620523240084,0.7612033414153113,0.7065804095395989
spapros_3_HLCA_132,0.1411582986476478,0.8784216996680719,0.7514465721110112,0.1411582986476478,0.1411582986476478,0.8357215191740737,0.7936511342484771
spapros_4_HLCA_132,0.286886147709679,0.890414698945387,0.7769593810444874,0.286886147709679,0.286886147709679,0.8915130535879326,0.8579179603980466
spapros_5_HLCA_132,0.4892800289867247,0.8974942480843954,0.8308673436492586,0.4892800289867247,0.4892800289867247,0.8809939790222145,0.8852892652651615
spapros_6_HLCA_132,0.7106924884542155,0.9024991200461016,0.8349127981947131,0.7106924884542155,0.7106924884542155,0.894938811654731,0.9008990651111006
spapros_10_HLCA_132,0.8171327841349587,0.9011478941161766,0.8461488824414356,0.8171327841349587,0.8171327841349587,0.9085207088477796,0.900323693671617
spapros_11_HLCA_132,0.8925596250370638,0.9048401174152813,0.8680756501182032,0.8925596250370638,0.8925596250370638,0.9029786768729452,0.905054056470574
spapros_7_HLCA_132,0.9390378663700746,0.9062120901595824,0.8732093810444874,0.9390378663700746,0.9390378663700746,0.9163556470154056,0.90768938946998
spapros_1_HLCA_133,0.0272298161878011,0.7534353866830256,0.3596194282951296,0.0272298161878011,0.0272298161878011,0.3595697178711373,0.3880685631247471
spapros_0_HLCA_133,0.0519762170434957,0.8375687320734541,0.6615884193750842,0.0519762170434957,0.0519762170434957,0.620841467144158,0.5734208133033192
spapros_2_HLCA_133,0.0808828653242817,0.8634978213326177,0.7464609685081519,0.0808828653242817,0.0808828653242817,0.7263659518883565,0.661804712008189
spapros_3_HLCA_133,0.1336765486259996,0.8870151138583882,0.8043177519879647,0.1336765486259996,0.1336765486259996,0.806663176768011,0.7624059816313782
spapros_4_HLCA_133,0.2511102134344887,0.8988013233871509,0.8337496776273371,0.2511102134344887,0.2511102134344887,0.8695743723946219,0.8423863704238348
spapros_5_HLCA_133,0.4390239752339926,0.9028569926929236,0.855156350741457,0.4390239752339926,0.4390239752339926,0.8834592727374297,0.8742124874848812
spapros_6_HLCA_133,0.670576542034271,0.9065385324109267,0.8808470879002794,0.670576542034271,0.670576542034271,0.926741136049579,0.8921846409431644
