,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_HLCA_61,0.7095401506816305,0.37385393844579057,0.0327854820669767,0.07319271850301848
spapros_0_HLCA_62,0.836963576078035,0.681141967900814,0.3036656377126609,0.6060792144814415
spapros_0_HLCA_63,0.7907717623711588,0.5193973965020989,0.5108603228538606,0.5916001550331763
spapros_0_HLCA_64,0.8205367851018257,0.5420451836045818,0.7019206329897563,0.6316069665884838
spapros_0_HLCA_65,0.8192990422121896,0.5965298295975606,0.5450777051235443,0.6152233566799724
spapros_0_HLCA_66,0.8195826476466491,0.5798070680840919,0.2672063624000746,0.5355711310203046
spapros_0_HLCA_67,0.768071409695802,0.38189655061623445,0.047204828481804614,0.43910253337268096
spapros_0_HLCA_68,0.8369870658503109,0.6768693846736034,0.5964927608148898,0.6289606466155222
spapros_0_HLCA_69,0.8365737640710599,0.6598612872258159,0.5248421581304815,0.6182248429844567
spapros_0_HLCA_70,0.8147422918472869,0.5432988202455944,0.22145469200542134,0.5666536844242106
spapros_0_HLCA_71,0.8289253479898574,0.6372006592657145,0.37263725402630865,0.5587601226647272
spapros_0_HLCA_72,0.8362511706800032,0.6616993823950768,0.631729126526875,0.6416043288844998
spapros_0_HLCA_73,0.8530568112569977,0.7270390013554575,0.57265899482899,0.6280435954556467
spapros_0_HLCA_74,0.8291907987687276,0.6239387161380414,0.22796038884509476,0.5642428969620431
spapros_0_HLCA_75,0.844215142331406,0.7285334795066017,0.6716223874354972,0.6472657955832397
spapros_0_HLCA_76,0.8462810176374865,0.6867477828290882,0.30669184138663,0.6096974948057898
spapros_0_HLCA_77,0.8401314317848031,0.6944065213559708,0.011078596258915519,0.5153769905340612
spapros_0_HLCA_78,0.841866283631474,0.7117634868607251,0.6512957486406357,0.6416451632803225
spapros_0_HLCA_79,0.8470536625450138,0.7133820036872153,0.22907467373944546,0.5673596125112924
spapros_0_HLCA_80,0.818518035730064,0.5643424286526787,0.04004425731156458,0.3671785169775834
spapros_0_HLCA_81,0.8345316918130053,0.6578108886962133,0.4214626578624789,0.6183738342164582
spapros_0_HLCA_82,0.8542602076226904,0.7509944979038465,0.569414126650875,0.6024599430785802
spapros_0_HLCA_83,0.8419118372886959,0.654044432572944,0.14281264146774736,0.46494042303548716
spapros_0_HLCA_84,0.8490783920152797,0.7195073775503577,0.3299793068062865,0.5972488466997253
spapros_0_HLCA_85,0.8492292398767031,0.7314514878856918,0.41817938637317675,0.593186950862551
spapros_0_HLCA_86,0.8395623034988031,0.6904726049641436,0.7195195197012547,0.6323798820276684
spapros_0_HLCA_87,0.8342701673612819,0.6682739428285794,0.41344621000990156,0.6113439178451984
