,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_bone_marrow_20,0.8245706039748658,0.6275067866461306,0.6870086935576436,0.6180563448495058
spapros_0_bone_marrow_21,0.8257100360567824,0.6192987104751807,0.7033091213024381,0.612770561416672
spapros_0_bone_marrow_22,0.6500108865734353,0.24816993464052284,0.4966740071366029,0.45569346544596423
spapros_0_bone_marrow_23,0.8530829413881825,0.738360655737705,0.7472687646946916,0.6773068112771072
spapros_0_bone_marrow_24,0.8530829413881825,0.738360655737705,0.7472687646946916,0.6773068112771072
spapros_0_bone_marrow_25,0.8530829413881825,0.738360655737705,0.7472687646946916,0.6773068112771072
spapros_0_bone_marrow_26,0.863505034330621,0.7455287688846028,0.7315032041617121,0.6647776377872286
spapros_0_bone_marrow_27,0.863505034330621,0.7455287688846028,0.7315032041617121,0.6647776377872286
spapros_0_bone_marrow_28,0.837074653546374,0.6767345165802254,0.7074535188245032,0.6255343676745516
spapros_0_bone_marrow_29,0.8114093107671788,0.5616816816816816,0.6592848203325234,0.599182640306647
spapros_0_bone_marrow_30,0.8454809351498467,0.6979213543340834,0.7095539996666127,0.6300380688010708
spapros_0_bone_marrow_31,0.863505034330621,0.7455287688846028,0.7315032041617121,0.6647776377872286
spapros_0_bone_marrow_32,0.837074653546374,0.6767345165802254,0.7074535188245032,0.6255343676745516
spapros_0_bone_marrow_33,0.8436495040349568,0.6857559198542806,0.6873942679538547,0.6373560222295225
spapros_0_bone_marrow_34,0.8462836384116119,0.7388256723454409,0.6946747246161962,0.6312896414510696
spapros_0_bone_marrow_35,0.854629322384663,0.7439408550305365,0.7199513471763247,0.6469853084451245
spapros_0_bone_marrow_36,0.8392188241241376,0.6569991109721097,0.6628751359956944,0.6117195088715027
spapros_0_bone_marrow_37,0.854629322384663,0.7439408550305365,0.7199513471763247,0.6469853084451245
spapros_0_bone_marrow_38,0.8436495040349568,0.6857559198542806,0.6873942679538547,0.6373560222295225
spapros_0_bone_marrow_39,0.8622916000310197,0.7379899282117219,0.7280597405260096,0.6658014393042635
spapros_0_bone_marrow_40,0.8475549682650735,0.697473481195757,0.6709439099978965,0.6450744396354954
spapros_0_bone_marrow_41,0.8441679618238707,0.7463252741651966,0.6910723550882099,0.6320900043300546
spapros_0_bone_marrow_42,0.8452086491987238,0.6911985428051002,0.7194008774704072,0.6554268377625059
spapros_0_bone_marrow_43,0.8441679618238707,0.7463252741651966,0.6910723550882099,0.6320900043300546
spapros_0_bone_marrow_44,0.8403852900825479,0.6924140147862425,0.6720579174483043,0.6046384569909831
spapros_0_bone_marrow_45,0.84493140764554,0.7026909455260466,0.7280003581271899,0.6561885645292896
spapros_0_bone_marrow_46,0.8474747526675326,0.7477424193721205,0.7357583449672489,0.6420214604543131
spapros_0_bone_marrow_47,0.8476174741358464,0.7187950283938709,0.6995665266615264,0.6376317096425369
spapros_0_bone_marrow_48,0.8476174741358464,0.7187950283938709,0.6995665266615264,0.6376317096425369
spapros_0_bone_marrow_49,0.8476174741358464,0.7187950283938709,0.6995665266615264,0.6376317096425369
spapros_0_bone_marrow_50,0.8488106240364421,0.7061673631201115,0.6911204480431801,0.6226775662527451
spapros_0_bone_marrow_51,0.8487645153134642,0.7168760949956704,0.7152555038255708,0.6379339429533314
spapros_0_bone_marrow_52,0.8502838513880195,0.7097439194256939,0.7150838288123949,0.6372113007291305
spapros_0_bone_marrow_53,0.8527619449316687,0.726428944528631,0.7142705162542806,0.629721076932312
