,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_bone_marrow_20,0.7240084436663259,0.30556553528341773
spapros_0_bone_marrow_21,0.674897838407809,0.33294339902508
spapros_0_bone_marrow_22,0.5350059877228879,0.1880132453448583
spapros_0_bone_marrow_23,0.6973900378772355,0.32388901823738675
spapros_0_bone_marrow_24,0.6973900378772355,0.32388901823738675
spapros_0_bone_marrow_25,0.6973900378772355,0.32388901823738675
spapros_0_bone_marrow_26,0.7067664258088805,0.32687337505294783
spapros_0_bone_marrow_27,0.7067664258088805,0.32687337505294783
spapros_0_bone_marrow_28,0.735335289922868,0.33422110634197955
spapros_0_bone_marrow_29,0.7232203335973033,0.2986019174150342
spapros_0_bone_marrow_30,0.6660273328513197,0.2978370157947505
spapros_0_bone_marrow_31,0.7067664258088805,0.32687337505294783
spapros_0_bone_marrow_32,0.735335289922868,0.33422110634197955
spapros_0_bone_marrow_33,0.7443139355129986,0.38554276351039046
spapros_0_bone_marrow_34,0.749410108144815,0.391908075022371
spapros_0_bone_marrow_35,0.7075981496230787,0.372277090133307
spapros_0_bone_marrow_36,0.7405533618290864,0.3647328892967089
spapros_0_bone_marrow_37,0.7075981496230787,0.372277090133307
spapros_0_bone_marrow_38,0.7443139355129986,0.38554276351039046
spapros_0_bone_marrow_39,0.6991942751082669,0.3210779640470362
spapros_0_bone_marrow_40,0.7431156935895632,0.3867996608026254
spapros_0_bone_marrow_41,0.7026265930458494,0.37594904172446886
spapros_0_bone_marrow_42,0.6814054632385206,0.31783207271869984
spapros_0_bone_marrow_43,0.7026265930458494,0.37594904172446886
spapros_0_bone_marrow_44,0.7394135173544024,0.3501261740572649
spapros_0_bone_marrow_45,0.7433568554900699,0.3634494036163902
spapros_0_bone_marrow_46,0.7127886069742811,0.35636908840206705
spapros_0_bone_marrow_47,0.7503176201279782,0.39247448013437886
spapros_0_bone_marrow_48,0.7503176201279782,0.39247448013437886
spapros_0_bone_marrow_49,0.7503176201279782,0.39247448013437886
spapros_0_bone_marrow_50,0.7436256516365736,0.39336724285653263
spapros_0_bone_marrow_51,0.7444264210791581,0.3728976530006447
spapros_0_bone_marrow_52,0.6944804007301204,0.3633633178797143
spapros_0_bone_marrow_53,0.742423345732433,0.3746634781500127
