,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_liver_four_0,0.8033124764807844,0.4976928717905609
spapros_0_liver_four_1,0.6027644675284465,0.15084921910635002
spapros_0_liver_four_2,0.6537847350041613,0.19913858754522046
spapros_0_liver_four_3,0.6537847350041613,0.19913858754522046
spapros_0_liver_four_4,0.7974289299704667,0.46185917360858425
spapros_0_liver_four_5,0.8021007424385035,0.5038742847416116
spapros_0_liver_four_6,0.8021007424385035,0.5038742847416116
spapros_0_liver_four_7,0.6304175208043415,0.17538004631027895
spapros_0_liver_four_8,0.6304175208043415,0.17538004631027895
spapros_0_liver_four_9,0.6524473984346623,0.20346002834374938
spapros_0_liver_four_10,0.803691158130543,0.49667128810253197
spapros_0_liver_four_11,0.803691158130543,0.49667128810253197
spapros_0_liver_four_12,0.7966224835861244,0.4994499186293678
spapros_0_liver_four_13,0.6302194742507016,0.20938015472899202
spapros_0_liver_four_14,0.8053466502144903,0.5232583978519924
