,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_liver_four_0,0.37091302677689253,0.45644674307857863,0.7891411159503889,0.45988467230790664
spapros_0_liver_four_1,0.1421384679957585,0.26904015595668296,0.5658726537509391,0.08466374812298746
spapros_0_liver_four_2,0.11749371445289729,0.2718514414057856,0.6190868041199126,0.14149778100855157
spapros_0_liver_four_3,0.11749371445289729,0.2718514414057856,0.6190868041199126,0.14149778100855157
spapros_0_liver_four_4,0.4327789904986418,0.44874534955474454,0.7812872809399932,0.4336278612376469
spapros_0_liver_four_5,0.374855372890043,0.4484974430417652,0.7864490896551712,0.454427255763339
spapros_0_liver_four_6,0.374855372890043,0.4484974430417652,0.7864490896551712,0.454427255763339
spapros_0_liver_four_7,0.14062880835859484,0.26793842296641673,0.5983561828015062,0.11109073395298795
spapros_0_liver_four_8,0.14062880835859484,0.26793842296641673,0.5983561828015062,0.11109073395298795
spapros_0_liver_four_9,0.15644285656727547,0.2893484248227707,0.6222221956667879,0.14182977428057933
spapros_0_liver_four_10,0.3382338617717157,0.4321148541138837,0.7867016542274924,0.4469282563546993
spapros_0_liver_four_11,0.3382338617717157,0.4321148541138837,0.7867016542274924,0.4469282563546993
spapros_0_liver_four_12,0.38070632059094905,0.43937252105469565,0.7796302396772326,0.44575127240895773
spapros_0_liver_four_13,0.17633554458973538,0.29040961217631595,0.5942335787079164,0.14856874788896254
spapros_0_liver_four_14,0.3631028404867366,0.4526824161993853,0.7892565149184545,0.4928508057707298
