,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_liver_four_0,0.9778214285714286,1.0,0.6099731584218623,0.6901218453441326
spapros_0_liver_four_1,0.9856428571428573,1.0,0.660333091598643,0.6911805828467734
spapros_0_liver_four_2,0.9767500000000001,1.0,0.6239250585716836,0.6942668524172365
spapros_0_liver_four_3,0.9767500000000001,1.0,0.6239250585716836,0.6942668524172365
spapros_0_liver_four_4,0.9763928571428573,1.0,0.6031512437043525,0.6713367245016467
spapros_0_liver_four_5,0.9854880952380952,1.0,0.6057694027488418,0.6854592680024709
spapros_0_liver_four_6,0.9854880952380952,1.0,0.6057694027488418,0.6854592680024709
spapros_0_liver_four_7,0.9664761904761906,1.0,0.6543031168244601,0.7041441634202645
spapros_0_liver_four_8,0.9664761904761906,1.0,0.6543031168244601,0.7041441634202645
spapros_0_liver_four_9,0.9638214285714286,1.0,0.6344864468034455,0.6874134434415584
spapros_0_liver_four_10,0.967297619047619,1.0,0.6058850574365027,0.6770793728624567
spapros_0_liver_four_11,0.967297619047619,1.0,0.6058850574365027,0.6770793728624567
spapros_0_liver_four_12,0.9596428571428572,1.0,0.5911794480899468,0.681561316415055
spapros_0_liver_four_13,0.9741666666666668,1.0,0.6430190732085043,0.6984897861549959
spapros_0_liver_four_14,0.9712261904761905,1.0,0.623085889432054,0.6957765196974042
